i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
105,2025-09-29 11:00:00,11,-1,MARKDOWN,5,A,106.891142,107.03080798108533,106.54197704728668,0.13966598108532935,0.03561596217065712,0,1,0,1,1,1,False,-1,
129,2025-09-29 13:00:00,13,-1,MARKDOWN,3,C,106.881974,107.0291870278345,106.51394143041375,0.1472130278344963,0.032374055668977386,0,0,1,0,0,1,False,-1,
142,2025-09-29 14:05:00,14,-1,MARKDOWN,4,B,106.812758,106.91475390228308,106.5577682442923,0.10199590228307898,0.02750780456615722,0,0,1,0,1,1,False,-1,
156,2025-09-29 15:15:00,15,-1,MARKDOWN,5,A,106.763936,106.83845493702606,106.57763865743486,0.07451893702605616,0.03290987405211142,0,1,1,0,1,1,True,157,0.8927281033284216
168,2025-09-29 16:15:00,16,-1,MARKDOWN,5,A,106.74197000000001,106.82460898151706,106.53537254620738,0.08263898151705007,0.03921796303411469,1,0,0,1,1,1,True,169,0.9128499092666557
180,2025-09-29 17:15:00,17,-1,MARKDOWN,5,A,106.724016,106.8265463985353,106.46769000366177,0.10253039853529344,0.04309279707058178,0,1,0,1,1,1,True,188,-1.0
357,2025-09-30 08:00:00,8,-1,MARKDOWN,6,A+,106.798748,106.92695340023627,106.47823449940933,0.12820540023626847,0.03790680047254287,0,1,1,1,1,1,False,-1,
369,2025-09-30 09:00:00,9,-1,MARKDOWN,5,A,106.758604,106.92112715724744,106.35229610688143,0.16252315724743482,0.03625431449486316,0,1,0,1,1,1,False,-1,
381,2025-09-30 10:00:00,10,-1,MARKDOWN,4,B,106.720022,106.92178305922829,106.21561935192928,0.20176105922828924,0.0375661184565629,0,1,0,1,0,1,False,-1,
393,2025-09-30 11:00:00,11,-1,MARKDOWN,5,A,106.649406,106.88931466032632,106.0496343491842,0.2399086603263214,0.04662932065264997,0,1,0,1,1,1,False,-1,
417,2025-09-30 13:00:00,13,-1,MARKDOWN,5,A,106.525762,106.70149565123374,106.08642787191565,0.17573365123374174,0.038991302467477534,0,1,1,0,1,1,False,-1,
429,2025-09-30 14:00:00,14,-1,MARKDOWN,4,B,106.48621,106.63507095762213,106.11405760594467,0.14886095762213358,0.03414191524427489,0,0,1,1,0,1,False,-1,
441,2025-09-30 15:00:00,15,-1,MARKDOWN,6,A+,106.389184,106.47758920831113,106.16817097922217,0.08840520831112997,0.03317841662225033,0,1,1,1,1,1,False,-1,
453,2025-09-30 16:00:00,16,-1,MARKDOWN,4,B,106.343452,106.40376329898822,106.19267375252943,0.06031129898822485,0.03352659797644839,0,0,0,1,1,1,True,454,0.6076016060280008
465,2025-09-30 17:00:00,17,-1,MARKDOWN,4,B,106.33189,106.39333234424109,106.17828413939728,0.061442344241086744,0.042664688482183445,0,1,0,0,1,1,True,468,0.5
477,2025-09-30 18:00:00,18,-1,MARKDOWN,6,A+,106.30601800000001,106.44817582723219,105.95062343191955,0.1421578272321824,0.0543516544643724,0,1,1,1,1,1,False,-1,
489,2025-09-30 19:00:00,19,-1,MARKDOWN,6,A+,106.30601800000001,106.44502536366502,105.95849959083748,0.13900736366501576,0.04805072733004889,0,1,1,1,1,1,False,-1,
501,2025-09-30 20:00:00,20,-1,MARKDOWN,6,A+,106.295704,106.4392493701246,105.9368405746885,0.143545370124599,0.03649874024918942,0,1,1,1,1,1,False,-1,
645,2025-10-01 08:00:00,8,-1,MARKDOWN,6,A+,106.261246,106.45071664622802,105.78756938442996,0.1894706462280169,0.037433292456027584,0,1,1,1,1,1,False,-1,
657,2025-10-01 09:00:00,9,-1,MARKDOWN,6,A+,106.22229,106.39767965865018,105.78381585337456,0.1753896586501753,0.04135931730035044,0,1,1,1,1,1,False,-1,
669,2025-10-01 10:00:00,10,-1,MARKDOWN,5,A,106.07658400000001,106.28640307354854,105.55203631612869,0.20981907354853035,0.04680614709708272,0,1,0,1,1,1,False,-1,
681,2025-10-01 11:00:00,11,-1,MARKDOWN,5,A,106.019508,106.27839951660006,105.37227920849986,0.25889151660005894,0.054799033200100614,0,1,0,1,1,1,False,-1,
705,2025-10-01 13:00:00,13,-1,MARKDOWN,2,C,105.892034,106.10941827587106,105.34857331032232,0.21738427587106912,0.04283655174213642,0,0,0,0,0,1,False,-1,
717,2025-10-01 14:00:00,14,-1,MARKDOWN,6,A+,105.82201,106.01248021590595,105.34583446023514,0.19047021590594682,0.040960431811901954,0,1,1,1,1,1,False,-1,
729,2025-10-01 15:00:00,15,-1,MARKDOWN,5,A,105.69618600000001,105.82000134453824,105.38664763865444,0.12381534453822951,0.03600268907645735,0,1,1,0,1,1,False,-1,
741,2025-10-01 16:00:00,16,-1,MARKDOWN,6,A+,105.57747,105.7703549615341,105.09525759616477,0.19288496153409085,0.06870992306817324,0,1,1,1,1,1,False,-1,
753,2025-10-01 17:00:00,17,-1,MARKDOWN,4,B,105.547898,105.75755638246005,105.02375204384988,0.20965838246004864,0.06711276492010688,0,0,0,1,1,1,True,756,0.8376317408957057
765,2025-10-01 18:00:00,18,-1,MARKDOWN,5,A,105.54419,105.75367632599767,105.02047418500581,0.20948632599767336,0.07135265199534002,0,1,0,1,1,1,True,785,-0.35233803279749326
933,2025-10-02 08:00:00,8,1,MARKUP,5,A,105.535984,105.44089116179768,105.77371609550579,0.09509283820231929,0.02821767640464291,0,1,1,0,1,1,True,936,-1.0
948,2025-10-02 09:15:00,9,1,MARKUP,5,A,105.515738,105.44154847111034,105.70121182222415,0.07418952888966146,0.02690305777931466,0,1,1,0,1,1,True,952,-1.0
960,2025-10-02 10:15:00,10,1,MARKUP,6,A+,105.546566,105.40264604826382,105.90636587934046,0.14391995173618,0.048707903472385954,1,0,1,1,1,1,True,966,-1.0
975,2025-10-02 11:30:00,11,-1,MARKDOWN,5,A,105.620434,105.76098723733003,105.26905090667495,0.14055323733002467,0.04197447466005215,0,1,1,1,0,1,False,-1,
