i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
113,2025-09-12 08:00:00,8,1,MARKUP,5,A,46112.9395,46089.68021059816,46171.08772350459,23.259289401838032,6.5995788036762635,0,0,1,1,1,1,True,120,-1.0
130,2025-09-12 09:25:00,9,-1,MARKDOWN,6,A+,46117.2162,46145.2759780205,46047.066754948755,28.059778020498925,9.591956040996376,0,1,1,1,1,1,False,-1,
142,2025-09-12 10:25:00,10,-1,MARKDOWN,6,A+,46110.1492,46147.2705575167,46017.34580620825,37.12135751669848,13.581115033397479,0,1,1,1,1,1,False,-1,
154,2025-09-12 11:25:00,11,-1,MARKDOWN,5,A,46084.650700000006,46148.59505825044,45924.789804373926,63.94435825043183,16.230116500866668,0,1,0,1,1,1,False,-1,
173,2025-09-12 13:00:00,13,-1,MARKDOWN,6,A+,46080.633700000006,46139.660934220134,45933.06561444969,59.027234220127866,11.361868440260738,0,1,1,1,1,1,False,-1,
185,2025-09-12 14:00:00,14,-1,MARKDOWN,6,A+,46073.279500000004,46127.394882059496,45937.991044851275,54.11538205949182,10.629764118983267,0,1,1,1,1,1,False,-1,
197,2025-09-12 15:00:00,15,-1,MARKDOWN,6,A+,46062.310000000005,46110.380529408336,45942.13367647918,48.07052940833091,12.101058816674154,0,1,1,1,1,1,True,210,2.5
217,2025-09-12 16:40:00,16,-1,MARKDOWN,5,A,46043.1046,46092.37748473366,45919.92238816584,49.27288473366207,26.194969467324213,0,1,1,0,1,1,True,219,2.5
229,2025-09-12 17:40:00,17,-1,MARKDOWN,6,A+,46021.5025,46094.96179278866,45837.854268028364,73.45929278865515,31.36358557731442,0,1,1,1,1,1,False,-1,
241,2025-09-12 18:40:00,18,-1,MARKDOWN,5,A,46008.227999999996,46093.48140119603,45795.0944970099,85.25340119603788,28.402802392065045,0,1,0,1,1,1,False,-1,
253,2025-09-12 19:40:00,19,-1,MARKDOWN,5,A,46007.273,46091.84225105279,45795.84987236803,84.56925105278788,25.124502105574244,0,1,1,0,1,1,False,-1,
265,2025-09-12 20:40:00,20,-1,MARKDOWN,6,A+,46007.273,46089.77190861837,45801.02572845407,82.49890861837048,20.983817236740382,0,1,1,1,1,1,False,-1,
409,2025-09-15 09:40:00,9,1,MARKUP,6,A+,45875.3317,45848.38098982706,45942.70847543235,26.95071017293958,8.558020345886163,0,1,1,1,1,1,True,425,-1.0
421,2025-09-15 10:40:00,10,1,MARKUP,3,C,45880.2192,45849.46184456012,45957.11258859969,30.757355439876847,11.396310879766217,0,0,0,0,1,1,True,425,-1.0
433,2025-09-15 11:40:00,11,1,MARKUP,6,A+,45874.5497,45823.703710523456,46001.66467369137,50.8459894765474,18.91257895309503,0,1,1,1,1,1,False,-1,
449,2025-09-15 13:00:00,13,1,MARKUP,5,A,45878.0832,45826.669596133885,46006.61720966529,51.41360386611632,12.980807732232845,0,1,1,0,1,1,False,-1,
472,2025-09-15 14:55:00,14,1,MARKUP,4,B,45878.0832,45827.775732068796,46003.85186982801,50.30746793120488,10.768535862411582,0,1,1,0,0,1,True,491,-1.0
484,2025-09-15 15:55:00,15,1,MARKUP,5,A,45878.0832,45826.809505996236,46006.26743500942,51.27369400376483,12.700988007533878,0,1,1,1,0,1,True,491,-1.0
496,2025-09-15 16:55:00,16,1,MARKUP,6,A+,45865.909,45794.86257167758,46043.52507080605,71.04642832242098,31.69485664483706,0,1,1,1,1,1,True,497,-1.0
508,2025-09-15 17:55:00,17,1,MARKUP,5,A,45878.133,45791.9961394179,46093.47515145526,86.13686058210442,37.4277211642087,0,1,0,1,1,1,True,513,-1.0
520,2025-09-15 18:55:00,18,-1,MARKDOWN,5,A,45907.0855,46005.41183543936,45661.26966140161,98.32633543935663,36.40367087871383,0,1,0,1,1,1,False,-1,
532,2025-09-15 19:55:00,19,-1,MARKDOWN,6,A+,45907.0855,46001.983163492114,45669.84134126972,94.89766349211277,29.54632698422292,0,1,1,1,1,1,False,-1,
665,2025-09-16 08:00:00,8,1,MARKUP,5,A,45893.765499999994,45861.872876309964,45973.49705922507,31.892623690029723,6.294247380066169,0,1,0,1,1,1,False,-1,
677,2025-09-16 09:00:00,9,1,MARKUP,5,A,45903.4395,45867.88708502244,45992.3205374439,35.55241497755924,8.265829955107186,0,1,0,1,1,1,True,688,-1.0
689,2025-09-16 10:00:00,10,1,MARKUP,5,A,45908.3542,45872.88993913685,45997.01485215789,35.46426086315478,11.26012172629463,0,0,1,1,1,1,True,690,-1.0
710,2025-09-16 11:45:00,11,1,MARKUP,6,A+,45917.995,45887.21398754337,45994.94753114158,30.781012456631288,13.812024913268024,0,1,1,1,1,1,True,717,-1.0
737,2025-09-16 14:00:00,14,-1,MARKDOWN,6,A+,45928.161,45963.31942827924,45840.264929301906,35.15842827923916,13.39885655847985,0,1,1,1,1,1,False,-1,
749,2025-09-16 15:00:00,15,-1,MARKDOWN,6,A+,45921.2085,45951.00547001615,45846.71607495963,29.796970016148407,11.270940032299368,0,1,1,1,1,1,True,767,-1.0
761,2025-09-16 16:00:00,16,-1,MARKDOWN,5,A,45902.145000000004,45952.738385860124,45775.6615353497,50.59338586012018,15.236771720237947,0,1,1,1,0,1,True,766,-1.0
773,2025-09-16 17:00:00,17,-1,MARKDOWN,6,A+,45865.435900000004,45994.59648296561,45542.534442585995,129.16058296560368,42.45296593120982,0,1,1,1,1,1,False,-1,
785,2025-09-16 18:00:00,18,-1,MARKDOWN,6,A+,45855.7904,45994.654995808545,45508.62891047863,138.86459580854716,42.56999161708014,0,1,1,1,1,1,False,-1,
797,2025-09-16 19:00:00,19,-1,MARKDOWN,2,C,45855.7904,45991.33879457385,45516.91941356537,135.54839457385242,35.93758914769787,0,0,0,0,0,1,False,-1,
811,2025-09-16 20:10:00,20,-1,MARKDOWN,4,B,45855.7904,45988.59509699021,45523.77865752447,132.80469699021342,30.450193980417374,0,0,1,0,1,1,False,-1,
941,2025-09-17 08:00:00,8,-1,MARKDOWN,5,A,45784.366,45824.80055567306,45683.279610817364,40.434555673055,6.761111346119961,0,1,1,0,1,1,False,-1,
954,2025-09-17 09:05:00,9,-1,MARKDOWN,4,B,45768.4525,45799.76846857718,45690.16257855704,31.315968577182502,8.196937154367072,0,1,1,0,0,1,True,963,-1.0
1001,2025-09-17 13:00:00,13,1,MARKUP,5,A,45752.970499999996,45717.23365680605,45842.31260798486,35.7368431939467,12.072686387888513,0,1,0,1,1,1,False,-1,
1014,2025-09-17 14:05:00,14,1,MARKUP,5,A,45752.970499999996,45717.01075518276,45842.86986204308,35.95974481723533,12.518489634476818,0,0,1,1,1,1,False,-1,
1026,2025-09-17 15:05:00,15,1,MARKUP,6,A+,45754.316,45718.273108515474,45844.42322871131,36.04289148452517,12.493782969039428,0,1,1,1,1,1,False,-1,
1038,2025-09-17 16:05:00,16,1,MARKUP,5,A,45771.314999999995,45717.68576733717,45905.38808165706,53.629232662824506,13.668465325647073,0,1,0,1,1,1,False,-1,
1050,2025-09-17 17:05:00,17,1,MARKUP,4,B,45880.3024,45735.04456190812,46243.44699522969,145.2578380918785,35.9508761837471,0,1,0,1,0,1,False,-1,
1062,2025-09-17 18:05:00,18,1,MARKUP,5,A,45886.4144,45735.20022920719,46264.449826982025,151.21417079280945,35.639541585607596,0,1,0,1,1,1,False,-1,
1074,2025-09-17 19:05:00,19,1,MARKUP,4,B,45904.3134,45756.138387415165,46274.750931462084,148.1750125848339,33.76322516966214,0,1,0,0,1,1,False,-1,
1086,2025-09-17 20:05:00,20,1,MARKUP,4,B,45916.6734,45776.52309685594,46267.04915786015,140.15030314405885,32.99380628811754,0,0,1,0,1,1,True,1105,-1.0
1217,2025-09-18 08:00:00,8,1,MARKUP,4,B,46132.974,46097.18895715175,46222.436607120624,35.78504284824885,8.922085696502043,0,1,1,0,0,1,True,1222,2.5
1237,2025-09-18 09:40:00,9,1,MARKUP,6,A+,46139.3703,46104.54346632894,46226.437384177654,34.82683367106074,14.91306734211626,0,1,1,1,1,1,False,-1,
1249,2025-09-18 10:40:00,10,1,MARKUP,4,B,46158.222,46102.397942047624,46297.78214488094,55.82405795237719,19.204115904745038,0,1,0,1,0,1,False,-1,
1261,2025-09-18 11:40:00,11,1,MARKUP,4,B,46186.49,46101.32060397571,46399.41349006071,85.16939602428465,21.358792048567405,0,1,0,1,0,1,False,-1,
1277,2025-09-18 13:00:00,13,1,MARKUP,5,A,46213.994,46101.34603878746,46495.61390303135,112.6479612125404,21.307922425084406,0,1,0,1,1,1,False,-1,
1289,2025-09-18 14:00:00,14,1,MARKUP,5,A,46213.994,46103.16631420249,46491.06321449377,110.827685797507,17.667371595009794,0,1,1,0,1,1,True,1307,-1.0
1317,2025-09-18 16:20:00,16,-1,MARKDOWN,5,A,46241.098,46393.3510796316,45860.465300921,152.25307963159867,28.70215926318827,0,1,0,1,1,1,True,1328,-0.07968311727657944
1329,2025-09-18 17:20:00,17,-1,MARKDOWN,5,A,46217.8724,46405.82037714057,45748.002457148585,187.94797714056767,53.64075428114114,1,0,0,1,1,1,True,1330,-0.18812439770798275
1368,2025-09-18 20:35:00,20,1,MARKUP,6,A+,46102.36,45938.57344494182,46511.826387645444,163.78655505817733,37.25311011634115,0,1,1,1,1,1,False,-1,
1493,2025-09-19 08:00:00,8,-1,MARKDOWN,6,A+,46230.6255,46276.570690339424,46115.76252415145,45.94519033942197,15.68138067884092,0,1,1,1,1,1,False,-1,
1505,2025-09-19 09:00:00,9,-1,MARKDOWN,5,A,46216.224,46265.09386013283,46094.04934966793,48.86986013282876,15.227720265648967,0,1,0,1,1,1,False,-1,
1517,2025-09-19 10:00:00,10,-1,MARKDOWN,6,A+,46187.230200000005,46270.12710927537,45979.987926811606,82.8969092753614,25.29421855072078,0,1,1,1,1,1,True,1533,-1.0
1529,2025-09-19 11:00:00,11,-1,MARKDOWN,5,A,46182.5507,46269.499675343686,45965.17826164079,86.94897534368647,24.039350687364415,0,0,1,1,1,1,True,1532,-1.0
1582,2025-09-19 15:25:00,15,1,MARKUP,6,A+,46162.687000000005,46111.58842243415,46290.43344391465,51.09857756585552,15.483155131709587,0,1,1,1,1,1,True,1595,2.5
1594,2025-09-19 16:25:00,16,1,MARKUP,5,A,46220.432,46127.8052726815,46451.998818296255,92.62672731850034,24.049454636998384,0,1,0,1,1,1,True,1595,-1.0
1606,2025-09-19 17:25:00,17,1,MARKUP,5,A,46206.6506,46095.98037115175,46483.32617212062,110.67022884824837,43.09925769649278,1,0,0,1,1,1,True,1607,0.5535309779109779
1621,2025-09-19 18:40:00,18,-1,MARKDOWN,5,A,46255.7884,46370.885189505265,45968.04642623683,115.09678950526722,40.110379010525065,0,1,0,1,1,1,True,1628,-1.0
1633,2025-09-19 19:40:00,19,1,MARKUP,5,A,46197.0716,46085.628072161206,46475.680419596996,111.44352783879731,32.803855677584465,0,1,0,1,1,1,False,-1,
1645,2025-09-19 20:40:00,20,1,MARKUP,5,A,46197.0716,46088.20577998104,46469.23615004741,108.86582001896022,27.648440037911236,0,1,0,1,1,1,False,-1,
1769,2025-09-22 08:00:00,8,1,MARKUP,6,A+,46250.726,46222.81149299854,46320.51226750366,27.91450700146379,7.697014002925604,0,1,1,1,1,1,True,1782,-1.0
1788,2025-09-22 09:35:00,9,-1,MARKDOWN,4,B,46268.077000000005,46294.83612714854,46201.17918212866,26.75912714853621,10.352254297080716,0,1,0,0,1,1,False,-1,
1800,2025-09-22 10:35:00,10,-1,MARKDOWN,5,A,46233.353200000005,46299.13500531948,46068.89868670133,65.78180531947146,18.950010638947848,0,1,0,1,1,1,True,1809,2.5
1812,2025-09-22 11:35:00,11,-1,MARKDOWN,5,A,46233.353200000005,46298.30792266368,46070.96639334083,64.95472266367142,17.295845327340007,1,0,0,1,1,1,False,-1,
1829,2025-09-22 13:00:00,13,-1,MARKDOWN,6,A+,46229.027200000004,46289.28731162537,46078.37692093659,60.260111625364516,13.254623250734342,0,1,1,1,1,1,False,-1,
1841,2025-09-22 14:00:00,14,-1,MARKDOWN,6,A+,46218.7375,46272.789321358156,46083.60794660462,54.051821358152665,13.558642716305872,0,1,1,1,1,1,False,-1,
1853,2025-09-22 15:00:00,15,-1,MARKDOWN,5,A,46214.566,46266.11366045532,46085.6968488617,51.54766045531869,13.707320910627027,0,1,0,1,1,1,True,1876,-1.0
1865,2025-09-22 16:00:00,16,-1,MARKDOWN,5,A,46187.0775,46244.115701945295,46044.48199513676,57.03820194529544,15.711403890588834,0,1,0,1,1,1,True,1875,-1.0
1888,2025-09-22 17:55:00,17,1,MARKUP,6,A+,46163.953,46027.71982037787,46504.53594905534,136.23317962213332,34.48035924426183,0,1,1,1,1,1,False,-1,
1900,2025-09-22 18:55:00,18,1,MARKUP,6,A+,46181.525,46028.853227886684,46563.204430283295,152.67177211331727,32.21354422662338,0,1,1,1,1,1,False,-1,
1912,2025-09-22 19:55:00,19,1,MARKUP,4,B,46181.525,46030.65922186932,46558.68944532671,150.86577813068288,28.60155626136102,0,1,0,0,1,1,False,-1,
1924,2025-09-22 20:55:00,20,1,MARKUP,4,B,46199.67,46031.74399340005,46619.485016499864,167.92600659994787,26.43201319989022,0,1,0,1,0,1,False,-1,
2051,2025-09-23 08:30:00,8,1,MARKUP,6,A+,46404.872,46379.06403770064,46469.3919057484,25.807962299360952,8.831924598725609,0,1,1,1,1,1,True,2070,2.5
2063,2025-09-23 09:30:00,9,1,MARKUP,5,A,46407.546,46377.87320192639,46481.72799518403,29.672798073610466,11.213596147230154,0,1,0,1,1,1,True,2070,2.5
2075,2025-09-23 10:30:00,10,1,MARKUP,4,B,46407.546,46376.435555401586,46485.32211149605,31.110444598416507,14.088889196834113,0,0,1,0,1,1,True,2082,2.5
2087,2025-09-23 11:30:00,11,1,MARKUP,6,A+,46412.359200000006,46375.99310353047,46503.27444117385,36.3660964695373,14.973792939070085,0,1,1,1,1,1,False,-1,
2105,2025-09-23 13:00:00,13,1,MARKUP,4,B,46425.462700000004,46383.457912379745,46530.47466905065,42.00478762025887,11.544175240523895,0,1,0,0,1,1,True,2112,2.5
