i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
110,2025-09-12 08:00:00,8,1,MARKUP,5,A,46112.9395,46089.6793040056,46171.089989986,23.26019599440042,6.6013919888092465,0,0,1,1,1,1,True,117,-1.0
127,2025-09-12 09:25:00,9,-1,MARKDOWN,6,A+,46117.2162,46145.276235221434,46047.06611194642,28.060035221431463,9.592470442858597,0,1,1,1,1,1,False,-1,
139,2025-09-12 10:25:00,10,-1,MARKDOWN,6,A+,46110.1492,46147.27066321216,46017.3455419696,37.12146321216278,13.58132642431885,0,1,1,1,1,1,False,-1,
151,2025-09-12 11:25:00,11,-1,MARKDOWN,5,A,46084.650700000006,46148.59510168547,45924.789695786356,63.944401685461344,16.23020337092862,0,1,0,1,1,1,False,-1,
170,2025-09-12 13:00:00,13,-1,MARKDOWN,6,A+,46080.633700000006,46139.660944845185,45933.06558788706,59.027244845179666,11.36188969036901,0,1,1,1,1,1,False,-1,
182,2025-09-12 14:00:00,14,-1,MARKDOWN,6,A+,46073.279500000004,46127.394886425805,45937.9910339355,54.11538642580126,10.629772851610998,0,1,1,1,1,1,False,-1,
194,2025-09-12 15:00:00,15,-1,MARKDOWN,6,A+,46062.310000000005,46110.38053120265,45942.13367199339,48.070531202647544,12.101062405304672,0,1,1,1,1,1,True,207,0.5
214,2025-09-12 16:40:00,16,-1,MARKDOWN,5,A,46043.1046,46092.37748514123,45919.922387146915,49.27288514123211,26.19497028246961,0,1,1,0,1,1,True,216,1.75
226,2025-09-12 17:40:00,17,-1,MARKDOWN,6,A+,46021.5025,46094.96179295614,45837.854267609655,73.45929295614042,31.36358591229441,0,1,1,1,1,1,False,-1,
238,2025-09-12 18:40:00,18,-1,MARKDOWN,5,A,46008.227999999996,46093.481401264864,45795.094496837824,85.25340126486844,28.402802529723424,0,1,0,1,1,1,False,-1,
250,2025-09-12 19:40:00,19,-1,MARKDOWN,5,A,46007.273,46091.84225108107,45795.84987229733,84.56925108106952,25.124502162144275,0,1,1,0,1,1,False,-1,
262,2025-09-12 20:40:00,20,-1,MARKDOWN,6,A+,46007.273,46089.77190862999,45801.025728425026,82.49890862999018,20.983817259987557,0,1,1,1,1,1,False,-1,
406,2025-09-15 09:40:00,9,1,MARKUP,6,A+,45875.3317,45848.38098982706,45942.70847543235,26.95071017293958,8.558020345886703,0,1,1,1,1,1,True,422,-1.0
