i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
105,2025-09-29 11:35:00,11,-1,MARKDOWN,3,B,1.39242138,1.3931062835401722,1.3907091211495697,0.0006849035401721437,0.0002925670803443416,0,1,1,0,1,1,False,-1,
122,2025-09-29 13:00:00,13,-1,MARKDOWN,2,C,1.39242138,1.3930744827239556,1.3907886231901112,0.0006531027239555787,0.00022896544791148086,0,0,1,0,1,1,True,132,-1.0
143,2025-09-29 14:45:00,14,1,MARKUP,2,C,1.39228344,1.3914118657688517,1.3944623755778704,0.0008715742311482533,0.00027626846229695395,0,1,1,0,0,1,False,-1,
155,2025-09-29 15:45:00,15,1,MARKUP,2,C,1.39247826,1.3913837953478139,1.3952144216304656,0.0010944646521862111,0.0003324093043723591,0,1,1,0,0,1,False,-1,
167,2025-09-29 16:45:00,16,1,MARKUP,1,C,1.39250916,1.3913921126872917,1.3953017782817705,0.0011170473127082303,0.00041577462541633856,1,0,0,0,0,1,True,180,-1.0
189,2025-09-29 18:35:00,18,-1,MARKDOWN,2,C,1.39287984,1.3941968762030736,1.3895872494923158,0.0013170362030736626,0.00043375240614718015,0,1,1,0,0,1,False,-1,
201,2025-09-29 19:35:00,19,-1,MARKDOWN,1,C,1.3925857,1.3941798304059514,1.3886003739851214,0.001594130405951466,0.0003996608119029187,0,1,0,0,0,1,False,-1,
213,2025-09-29 20:35:00,20,-1,MARKDOWN,0,C,1.39257334,1.3941321507616051,1.3886763130959872,0.0015588107616051339,0.00034430152321043806,0,0,0,0,0,1,False,-1,
350,2025-09-30 08:00:00,8,-1,MARKDOWN,2,C,1.3919930600000001,1.3925492285093628,1.3906026387265933,0.0005561685093626867,0.000218457018725527,0,1,0,0,1,1,True,362,1.288649639503812
363,2025-09-30 09:05:00,9,-1,MARKDOWN,3,B,1.39186946,1.3923565594811036,1.3906517112972407,0.00048709948110370327,0.00023311896220719534,0,1,1,1,1,1,True,382,-1.0
375,2025-09-30 10:05:00,10,-1,MARKDOWN,2,C,1.39154812,1.3921888092294004,1.389946396926499,0.0006406892294004152,0.00025761845880044424,1,0,0,1,0,1,True,382,-1.0
