i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
105,2025-09-29 11:10:00,11,-1,MARKDOWN,5,A,148.790764,149.00777016396307,148.24824859009232,0.21700616396307737,0.05354032792618476,0,1,1,1,0,1,False,-1,
127,2025-09-29 13:00:00,13,-1,MARKDOWN,4,B,148.780236,148.99588002919714,148.24112592700715,0.21564402919713643,0.04776005839428027,0,0,1,0,1,1,True,144,0.8868133317300443
161,2025-09-29 15:50:00,15,-1,MARKDOWN,6,A+,148.68321,148.84291888775627,148.28393778060934,0.1597088877562669,0.05583777551256578,0,1,1,1,1,1,True,163,0.7025908299558709
173,2025-09-29 16:50:00,16,-1,MARKDOWN,6,A+,148.684356,148.84548081591979,148.28154396020057,0.16112481591977712,0.06096163183958213,0,1,1,1,1,1,False,-1,
185,2025-09-29 17:50:00,17,-1,MARKDOWN,4,B,148.687412,148.84288431884048,148.2987312028988,0.15547231884048074,0.05576863768092919,0,1,0,1,0,1,False,-1,
197,2025-09-29 18:50:00,18,-1,MARKDOWN,4,B,148.687412,148.84183852763903,148.30134568090241,0.15442652763903197,0.053677055278078686,0,1,1,0,0,1,False,-1,
210,2025-09-29 19:55:00,19,-1,MARKDOWN,3,C,148.687412,148.83482271304882,148.31888521737793,0.1474107130488278,0.03964542609763677,0,0,1,0,0,1,False,-1,
355,2025-09-30 08:00:00,8,-1,MARKDOWN,4,B,148.65147199999998,148.87055746900475,148.10375832748807,0.21908546900476722,0.053114938009523785,0,1,0,1,0,1,False,-1,
367,2025-09-30 09:00:00,9,-1,MARKDOWN,4,B,148.58435,148.82959362939872,147.9712409265032,0.2452436293987148,0.051187258797420636,0,1,0,1,0,1,False,-1,
379,2025-09-30 10:00:00,10,-1,MARKDOWN,5,A,148.498702,148.80675988561396,147.72855728596514,0.3080578856139482,0.051519771227889685,0,1,0,1,1,1,False,-1,
391,2025-09-30 11:00:00,11,-1,MARKDOWN,5,A,148.421332,148.75200411994587,147.59465170013536,0.3306721199458593,0.07000823989168228,0,1,0,1,1,1,False,-1,
415,2025-09-30 13:00:00,13,-1,MARKDOWN,5,A,148.212452,148.47479251254506,147.55660071863738,0.26234051254505175,0.05558502509012254,0,1,1,0,1,1,False,-1,
449,2025-09-30 15:50:00,15,-1,MARKDOWN,5,A,148.002332,148.13160596652168,147.6791470836958,0.12927396652168,0.049211933043365234,0,1,1,0,1,1,True,452,2.5
461,2025-09-30 16:50:00,16,-1,MARKDOWN,6,A+,147.989366,148.12710342244253,147.64502244389365,0.13773742244254095,0.05620684488506975,0,1,1,1,1,1,True,463,0.9610024469218503
473,2025-09-30 17:50:00,17,-1,MARKDOWN,6,A+,147.95345799999998,148.1371982922243,147.4941072694392,0.18374029222431432,0.07639658444864106,0,1,1,1,1,1,True,478,0.5086418382630751
487,2025-09-30 19:00:00,19,-1,MARKDOWN,6,A+,147.928628,148.13538912589362,147.41172518526594,0.20676112589362106,0.07277825178727688,1,0,1,1,1,1,False,-1,
499,2025-09-30 20:00:00,20,-1,MARKDOWN,5,A,147.906998,148.0922968351564,147.44375091210898,0.18529883515640222,0.05659367031277772,0,1,0,1,1,1,True,523,-1.0
643,2025-10-01 08:00:00,8,-1,MARKDOWN,6,A+,147.93415199999998,148.2557559853875,147.13014203653117,0.3216039853875259,0.05951197077499571,0,1,1,1,1,1,False,-1,
655,2025-10-01 09:00:00,9,-1,MARKDOWN,6,A+,147.888612,148.20118468623252,147.1071802844187,0.312572686232528,0.06436937246503346,0,1,1,1,1,1,False,-1,
667,2025-10-01 10:00:00,10,-1,MARKDOWN,5,A,147.666526,148.0485957335826,146.71135166604353,0.3820697335825969,0.07119146716517419,0,1,0,1,1,1,False,-1,
679,2025-10-01 11:00:00,11,-1,MARKDOWN,6,A+,147.626258,148.04336484846715,146.58349087883215,0.4171068484671423,0.08472969693430953,0,1,1,1,1,1,False,-1,
703,2025-10-01 13:00:00,13,-1,MARKDOWN,3,C,147.360174,147.67796051717394,146.56570770706514,0.3177865171739427,0.06792103434785951,0,0,0,0,1,1,False,-1,
716,2025-10-01 14:05:00,14,-1,MARKDOWN,6,A+,147.222978,147.45291986355264,146.64812334111843,0.22994186355262514,0.06183972710528312,0,1,1,1,1,1,False,-1,
729,2025-10-01 15:10:00,15,-1,MARKDOWN,4,B,147.162414,147.3515350336552,146.68961141586203,0.18912103365519783,0.055070067310391525,0,1,0,1,0,1,False,-1,
741,2025-10-01 16:10:00,16,-1,MARKDOWN,4,B,147.00815,147.32142871356814,146.22495321607965,0.3132787135681383,0.1108574271362897,0,1,0,1,0,1,True,753,-0.16231552862571702
753,2025-10-01 17:10:00,17,-1,MARKDOWN,4,B,147.00815,147.31791846091735,146.23372884770663,0.3097684609173541,0.10383692183473511,1,0,0,1,0,1,True,754,-0.1318726892951984
931,2025-10-02 08:00:00,8,1,MARKUP,6,A+,147.08792400000002,146.92040928792588,147.50671078018536,0.16751471207413715,0.04318142414824016,0,1,1,1,1,1,True,945,-1.0
947,2025-10-02 09:20:00,9,1,MARKUP,5,A,147.067296,146.92048382783878,147.43432643040305,0.14681217216121922,0.04303234432247614,0,0,1,1,1,1,True,950,-1.0
960,2025-10-02 10:25:00,10,1,MARKUP,6,A+,147.078652,146.85515953612025,147.63738315969937,0.22349246387975086,0.07568092775949087,0,1,1,1,1,1,True,964,-1.0
972,2025-10-02 11:25:00,11,-1,MARKDOWN,6,A+,147.193348,147.41416891524193,146.6412957118951,0.22082091524194425,0.07033783048386315,0,1,1,1,1,1,False,-1,
991,2025-10-02 13:00:00,13,-1,MARKDOWN,5,A,147.081422,147.41176927946594,146.25555380133517,0.3303472794659399,0.0655385589319094,0,1,0,1,1,1,False,-1,
1003,2025-10-02 14:00:00,14,-1,MARKDOWN,5,A,147.081422,147.40814122978085,146.26462392554788,0.3267192297808492,0.05828245956171181,0,1,0,1,1,1,True,1023,-1.0
1015,2025-10-02 15:00:00,15,-1,MARKDOWN,4,B,146.982542,147.2475936055698,146.3199129860755,0.2650516055697949,0.05718721113957487,0,0,1,1,0,1,True,1021,-1.0
1036,2025-10-02 16:45:00,16,1,MARKUP,5,A,146.839132,146.56812975632045,147.5166376091989,0.27100224367956116,0.0637404873591201,0,1,1,1,0,1,False,-1,
1048,2025-10-02 17:45:00,17,1,MARKUP,6,A+,146.878478,146.56600501226754,147.65966046933116,0.31247298773246257,0.06798997546491696,0,1,1,1,1,1,False,-1,
1060,2025-10-02 18:45:00,18,1,MARKUP,4,B,146.962126,146.5863910895852,147.90146327603708,0.37573491041482043,0.06921782082961918,0,1,0,0,1,1,False,-1,
1072,2025-10-02 19:45:00,19,1,MARKUP,4,B,147.03814,146.7155647151591,147.84457821210225,0.3225752848408945,0.05687056968176312,0,0,0,1,1,1,False,-1,
1219,2025-10-03 08:00:00,8,1,MARKUP,6,A+,147.405762,147.16161428868793,148.01613127828023,0.24414771131208113,0.036771422624136595,0,1,1,1,1,1,False,-1,
1231,2025-10-03 09:00:00,9,1,MARKUP,6,A+,147.423334,147.1483060553748,148.11090386156303,0.27502794462520797,0.0633878892504285,0,1,1,1,1,1,True,1254,-1.0
1279,2025-10-03 13:00:00,13,-1,MARKDOWN,6,A+,147.612248,147.84015251239853,147.04248671900365,0.22790451239853837,0.046305024797022996,0,1,1,1,1,1,False,-1,
1291,2025-10-03 14:00:00,14,-1,MARKDOWN,3,C,147.581348,147.78673523083685,147.06787992290782,0.2053872308368625,0.03947046167374313,0,0,0,0,1,1,False,-1,
1303,2025-10-03 15:00:00,15,-1,MARKDOWN,4,B,147.506988,147.7062867544104,147.00874111397403,0.19929875441039258,0.04257350882081779,0,0,0,1,1,1,False,-1,
1315,2025-10-03 16:00:00,16,-1,MARKDOWN,4,B,147.356196,147.46939938688564,147.07318753278594,0.1132033868856297,0.05679877377126327,0,0,0,1,1,1,True,1326,2.5
1327,2025-10-03 17:00:00,17,-1,MARKDOWN,5,A,147.284346,147.4736950233718,146.81097344157052,0.18934902337178983,0.07539004674355909,1,0,1,0,1,1,True,1328,-1.0
1358,2025-10-03 19:35:00,19,1,MARKUP,5,A,147.22235999999998,147.0121392799145,147.7479118002137,0.21022072008548776,0.05372144017100445,0,1,1,1,0,1,False,-1,
1370,2025-10-03 20:35:00,20,1,MARKUP,4,B,147.22847199999998,147.01841456462049,147.75361558844872,0.21005743537949684,0.0411708707590182,0,1,0,1,0,1,False,-1,
1507,2025-10-06 08:00:00,8,1,MARKUP,5,A,149.792272,149.41316147160137,150.74004832099655,0.3791105283986269,0.07367705679722301,0,1,0,1,1,1,False,-1,
1519,2025-10-06 09:00:00,9,1,MARKUP,5,A,149.912228,149.5466674878049,150.82612928048772,0.36556051219508845,0.07866502439020918,0,1,0,1,1,1,False,-1,
1546,2025-10-06 11:15:00,11,1,MARKUP,5,A,150.077852,149.8030166482649,150.76494037933776,0.2748353517351063,0.10196670347021707,0,1,1,0,1,1,False,-1,
1567,2025-10-06 13:00:00,13,1,MARKUP,4,B,150.152168,149.9173720689439,150.7391578276402,0.23479593105608387,0.06925586211219399,0,1,0,0,1,1,True,1591,-1.0
1579,2025-10-06 14:00:00,14,1,MARKUP,3,C,150.152168,149.9210406556869,150.72998636078268,0.23112734431308013,0.0619186886261826,0,0,1,0,0,1,True,1591,-1.0
1615,2025-10-06 17:00:00,17,-1,MARKDOWN,5,A,150.199814,150.52089112492158,149.3971211876961,0.3210771249215725,0.08978224984315383,0,1,0,1,1,1,False,-1,
1627,2025-10-06 18:00:00,18,-1,MARKDOWN,4,B,150.17200400000002,150.47302510393817,149.41945124015461,0.3010211039381545,0.08405020787634324,0,0,1,0,1,1,True,1650,-1.0
1640,2025-10-06 19:05:00,19,-1,MARKDOWN,5,A,150.157172,150.43917914011348,149.4521541497163,0.28200714011347827,0.0643582802269139,0,0,1,1,1,1,True,1647,-1.0
1652,2025-10-06 20:05:00,20,1,MARKUP,5,A,149.91382199999998,149.72889302457932,150.37614443855165,0.1849289754206609,0.04821395084131302,0,1,0,1,1,1,False,-1,
1796,2025-10-07 08:05:00,8,1,MARKUP,6,A+,150.389958,150.2261452595597,150.79948985110076,0.16381274044030647,0.04570948088058364,0,1,1,1,1,1,False,-1,
1808,2025-10-07 09:05:00,9,1,MARKUP,6,A+,150.39798,150.22283912651267,150.8358321837183,0.17514087348732232,0.052321746974643514,0,1,1,1,1,1,False,-1,
1820,2025-10-07 10:05:00,10,1,MARKUP,6,A+,150.4209,150.22134975209264,150.91977561976836,0.19955024790735365,0.05530049581469191,0,1,1,1,1,1,False,-1,
1832,2025-10-07 11:05:00,11,1,MARKUP,4,B,150.42586599999998,150.22128352507025,150.93732218732433,0.2045824749297367,0.05543294985946909,0,0,0,1,1,1,False,-1,
1855,2025-10-07 13:00:00,13,1,MARKUP,5,A,150.583182,150.4071200231669,151.02333694208272,0.17606197683309688,0.04575995366619744,0,1,1,1,0,1,False,-1,
1867,2025-10-07 14:00:00,14,1,MARKUP,6,A+,150.641892,150.50419574231464,150.98613264421346,0.13769625768537708,0.04160851537074369,0,1,1,1,1,1,False,-1,
1879,2025-10-07 15:00:00,15,1,MARKUP,4,B,150.687732,150.50454757397287,151.14569306506786,0.18318442602713958,0.040904852054275215,0,1,0,1,0,1,False,-1,
1891,2025-10-07 16:00:00,16,1,MARKUP,4,B,150.717146,150.4975024602747,151.26625484931333,0.21964353972532535,0.05499507945064227,0,0,0,1,1,1,False,-1,
1903,2025-10-07 17:00:00,17,1,MARKUP,6,A+,150.834734,150.67413266974708,151.2362373256323,0.16060133025291634,0.06373466050580774,0,1,1,1,1,1,False,-1,
1915,2025-10-07 18:00:00,18,1,MARKUP,5,A,150.897,150.67126798593827,151.46133003515428,0.2257320140617196,0.0694640281234175,0,1,0,1,1,1,False,-1,
1927,2025-10-07 19:00:00,19,1,MARKUP,6,A+,150.91368599999998,150.69838745256354,151.4519323685911,0.21529854743644705,0.06922509487294712,0,1,1,1,1,1,False,-1,
1939,2025-10-07 20:00:00,20,1,MARKUP,4,B,150.991996,150.69907142741297,151.72430743146757,0.292924572587026,0.06785714517406441,0,1,0,1,0,1,False,-1,
2097,2025-10-08 09:10:00,9,1,MARKUP,4,B,152.404362,152.2160155609981,152.8752280975047,0.18834643900189008,0.07796887800378706,0,1,1,0,0,1,True,2100,2.5
2109,2025-10-08 10:10:00,10,1,MARKUP,5,A,152.386408,152.21423175553423,152.8168486111644,0.17217624446575996,0.08153648893151078,0,1,1,0,1,1,True,2116,2.5
2125,2025-10-08 11:30:00,11,1,MARKUP,5,A,152.37456600000002,152.21520689121627,152.77296377195938,0.1593591087837467,0.079586217567425,0,1,1,0,1,1,False,-1,
