i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
105,2025-09-29 11:25:00,11,-1,MARKDOWN,1,C,148.785798,149.00862183976577,148.2287384005856,0.22282383976576625,0.055243679531515565,0,1,0,0,0,1,False,-1,
124,2025-09-29 13:00:00,13,-1,MARKDOWN,1,C,148.780236,148.99587880592958,148.24112898517606,0.2156428059295763,0.04775761185912413,0,0,1,0,0,1,True,141,0.8797800555288424
173,2025-09-29 17:05:00,17,-1,MARKDOWN,3,B,148.687412,148.84697294594937,148.28850963512656,0.15956094594938008,0.0639458918987818,0,1,1,1,1,1,False,-1,
185,2025-09-29 18:05:00,18,-1,MARKDOWN,1,C,148.687412,148.8445943192286,148.29445620192848,0.15718231922861037,0.05918863845723172,0,0,1,0,0,1,False,-1,
197,2025-09-29 19:05:00,19,-1,MARKDOWN,0,C,148.687412,148.84082023695754,148.30389140760613,0.1534082369575458,0.051640473915075064,0,0,0,0,0,1,False,-1,
209,2025-09-29 20:05:00,20,-1,MARKDOWN,0,C,148.687412,148.83476039828884,148.3190410042779,0.14734839828884105,0.039520796577704596,0,0,0,0,0,1,False,-1,
352,2025-09-30 08:00:00,8,-1,MARKDOWN,1,C,148.65147199999998,148.8705574690047,148.1037583274882,0.21908546900471038,0.05311493800941146,0,1,0,0,0,1,False,-1,
364,2025-09-30 09:00:00,9,-1,MARKDOWN,1,C,148.58435,148.8295936293987,147.9712409265033,0.24524362939868638,0.05118725879737448,0,1,0,0,0,1,False,-1,
376,2025-09-30 10:00:00,10,-1,MARKDOWN,1,C,148.498702,148.80675988561393,147.72855728596522,0.3080578856139198,0.051519771227870714,0,1,0,0,0,1,False,-1,
388,2025-09-30 11:00:00,11,-1,MARKDOWN,1,C,148.421332,148.75200411994584,147.59465170013544,0.3306721199458309,0.0700082398916745,0,1,0,0,0,1,False,-1,
412,2025-09-30 13:00:00,13,-1,MARKDOWN,2,C,148.212452,148.47479251254506,147.55660071863738,0.26234051254505175,0.05558502509012121,0,1,1,0,0,1,False,-1,
446,2025-09-30 15:50:00,15,-1,MARKDOWN,3,B,148.002332,148.13160596652168,147.6791470836958,0.12927396652168,0.049211933043365116,0,1,1,0,1,1,True,449,0.8937589330699078
458,2025-09-30 16:50:00,16,-1,MARKDOWN,2,C,147.989366,148.12710342244253,147.64502244389365,0.13773742244254095,0.056206844885069704,0,1,1,0,0,1,True,460,1.0391538714392161
470,2025-09-30 17:50:00,17,-1,MARKDOWN,3,B,147.95345799999998,148.1371982922243,147.4941072694392,0.18374029222431432,0.07639658444864103,0,1,1,0,1,1,True,475,0.9883717358454116
484,2025-09-30 19:00:00,19,-1,MARKDOWN,3,B,147.928628,148.13538912589362,147.41172518526594,0.20676112589362106,0.07277825178727687,1,0,1,0,1,1,False,-1,
496,2025-09-30 20:00:00,20,-1,MARKDOWN,2,C,147.906998,148.0922968351564,147.44375091210898,0.18529883515640222,0.05659367031277769,0,1,0,0,1,1,True,520,-1.0
640,2025-10-01 08:00:00,8,-1,MARKDOWN,2,C,147.93415199999998,148.2557559853875,147.13014203653117,0.3216039853875259,0.05951197077499571,0,1,1,0,0,1,False,-1,
652,2025-10-01 09:00:00,9,-1,MARKDOWN,2,C,147.888612,148.20118468623252,147.1071802844187,0.312572686232528,0.06436937246503346,0,1,1,0,0,1,False,-1,
