i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
2398,2019-09-25 20:00:00,20,1,MARKUP,2,C,1451.18334,1375.00424270806,1641.63108322985,76.17909729194002,21.43151458388023,0,0,0,0,0,1,False,-1,
2506,2019-10-02 13:00:00,13,1,MARKUP,6,A+,1474.9415399999998,1457.0951758556043,1519.5574503609885,17.846364144395466,4.00964828879108,0,1,1,1,1,1,False,-1,
2524,2019-10-03 08:00:00,8,1,MARKUP,4,B,1476.69874,1457.388570227726,1524.9741644306853,19.310169772274094,3.422859544547744,0,1,0,1,0,1,False,-1,
2536,2019-10-03 20:00:00,20,1,MARKUP,3,C,1482.23392,1456.500277341896,1546.5680266452596,25.733642658103918,5.199445316207693,0,0,0,1,0,1,False,-1,
2548,2019-10-04 09:00:00,9,1,MARKUP,5,A,1491.77584,1472.8131132912658,1539.1826567718354,18.96272670873418,3.4537734174683647,0,1,0,1,1,1,False,-1,
2616,2019-10-09 08:00:00,8,1,MARKUP,6,A+,1496.79234,1485.2923884254237,1525.5422189364406,11.499951574576244,3.2352231491525902,0,1,1,1,1,1,False,-1,
2628,2019-10-09 20:00:00,20,1,MARKUP,5,A,1496.2728200000001,1485.0445318647628,1524.3435403380936,11.228288135237335,3.7309362704745297,0,1,0,1,1,1,True,2647,-1.0
2640,2019-10-10 09:00:00,9,1,MARKUP,4,B,1498.43112,1484.9057492058998,1532.2445469852503,13.525370794100127,4.008501588200342,0,0,0,1,1,1,True,2647,-1.0
2662,2019-10-11 08:00:00,8,-1,MARKDOWN,5,A,1507.0577799999999,1518.9339087765911,1477.3674580585216,11.876128776591258,3.727817553182486,0,1,0,1,1,1,False,-1,
2674,2019-10-11 20:00:00,20,-1,MARKDOWN,5,A,1500.62872,1519.8375285522052,1452.606698619487,19.208808552205255,5.535057104410473,0,1,0,1,1,1,False,-1,
2686,2019-10-14 09:00:00,9,-1,MARKDOWN,5,A,1500.62872,1519.0985662909477,1454.4541042726305,18.46984629094777,4.057132581895692,0,1,0,1,1,1,False,-1,
2716,2019-10-15 16:00:00,16,-1,MARKDOWN,6,A+,1492.0756,1504.8633446153221,1460.1062384616944,12.787744615322254,3.26668923064435,0,1,1,1,1,1,False,-1,
2731,2019-10-16 08:00:00,8,-1,MARKDOWN,5,A,1490.4143,1499.8532293374126,1466.8169766564683,9.438929337412674,2.566458674825168,0,1,0,1,1,1,True,2738,0.5
2780,2019-10-18 11:00:00,11,-1,MARKDOWN,7,A+,1489.62394,1498.6740086312411,1466.998768421897,9.050068631241174,2.568017262481871,1,1,1,1,1,1,True,2782,-1.0
2810,2019-10-21 18:00:00,18,-1,MARKDOWN,5,A,1492.0496400000002,1498.864004612264,1475.013728469341,6.8143646122637165,2.9480092245274783,0,1,1,0,1,1,False,-1,
2823,2019-10-22 08:00:00,8,-1,MARKDOWN,5,A,1491.07554,1498.5202807918115,1472.4636880204714,7.444740791811455,2.260561583622817,0,1,0,1,1,1,True,2847,-1.0
2835,2019-10-22 20:00:00,20,-1,MARKDOWN,3,C,1489.74684,1496.4072727686835,1473.0957580782915,6.6604327686834495,2.334545537366976,0,0,0,0,1,1,True,2841,-1.0
2854,2019-10-23 16:00:00,16,1,MARKUP,5,A,1486.7771799999998,1479.6300170974516,1504.6450872563703,7.147162902548189,2.459965805096481,0,1,1,0,1,1,False,-1,
2869,2019-10-24 08:00:00,8,1,MARKUP,5,A,1486.7771799999998,1479.9362674567637,1503.8794613580899,6.8409125432360725,1.8474650864724709,0,1,1,0,1,1,False,-1,
2881,2019-10-24 20:00:00,20,1,MARKUP,6,A+,1490.55898,1481.310009007116,1513.6814074822103,9.248970992884097,2.919981985767979,0,1,1,1,1,1,False,-1,
2893,2019-10-25 09:00:00,9,1,MARKUP,5,A,1491.90362,1481.6673411769443,1517.4943170576394,10.236278823055727,2.2053176461112947,0,1,1,1,0,1,False,-1,
2915,2019-10-28 08:00:00,8,1,MARKUP,5,A,1499.46854,1486.7984743942645,1531.143704014339,12.670065605735545,2.443051211471028,0,0,1,1,1,1,True,2922,-1.0
2944,2019-10-29 14:00:00,14,-1,MARKDOWN,6,A+,1505.11278,1519.3439362008928,1469.5348894977678,14.231156200892883,2.7078724017858216,0,1,1,1,1,1,False,-1,
2961,2019-10-30 08:00:00,8,-1,MARKDOWN,6,A+,1501.5529000000001,1513.779159375525,1470.9872515611878,12.226259375524933,2.2583187510500884,0,1,1,1,1,1,False,-1,
2989,2019-10-31 13:00:00,13,1,MARKUP,6,A+,1490.88516,1479.757931600451,1518.7032309988726,11.12722839954904,2.8641367990982114,0,1,1,1,1,1,False,-1,
3007,2019-11-01 08:00:00,8,1,MARKUP,5,A,1493.8112800000001,1480.0346786661032,1528.2527833347424,13.776601333896906,2.3106426677935676,0,1,0,1,1,1,False,-1,
3019,2019-11-01 20:00:00,20,1,MARKUP,3,C,1494.56382,1479.5286650106575,1532.1517074733565,15.035154989342573,3.3226699786850724,0,0,0,1,0,1,False,-1,
3031,2019-11-04 09:00:00,9,1,MARKUP,6,A+,1494.56382,1479.9260370290244,1531.1582774274393,14.63778297097565,2.527925941951396,0,1,1,1,1,1,False,-1,
3064,2019-11-05 19:00:00,19,-1,MARKDOWN,5,A,1502.64664,1518.132138521639,1463.9328936959023,15.485498521639101,3.8642770432781757,0,1,0,1,1,1,False,-1,
3076,2019-11-06 08:00:00,8,-1,MARKDOWN,5,A,1501.3019199999999,1516.257229546501,1463.9136461337469,14.955309546501212,2.834459093002281,0,1,0,1,1,1,False,-1,
3088,2019-11-06 20:00:00,20,-1,MARKDOWN,4,B,1501.3019199999999,1516.4791285358517,1463.3588986603704,15.177208535851832,3.278257071703611,0,0,1,0,1,1,False,-1,
3100,2019-11-07 09:00:00,9,-1,MARKDOWN,5,A,1498.7804800000001,1512.033437665356,1465.6480858366108,13.25295766535578,2.546875330711756,0,1,1,0,1,1,False,-1,
3122,2019-11-08 08:00:00,8,-1,MARKDOWN,4,B,1481.41806,1495.9227664111454,1445.1562939721364,14.504706411145435,3.2855328222909383,0,1,0,1,0,1,False,-1,
3134,2019-11-08 20:00:00,20,-1,MARKDOWN,6,A+,1479.74872,1496.2700904578035,1438.4452938554914,16.521370457803414,3.9801809156071135,0,1,1,1,1,1,False,-1,
3146,2019-11-11 09:00:00,9,-1,MARKDOWN,3,C,1479.21724,1494.781762900135,1440.3059327496626,15.564522900134989,2.7235258002698424,0,0,0,1,0,1,False,-1,
3168,2019-11-12 08:00:00,8,-1,MARKDOWN,5,A,1463.5164,1474.349864231238,1436.4327394219051,10.83346423123794,2.7197284624756226,0,1,1,1,0,1,False,-1,
3180,2019-11-12 20:00:00,20,-1,MARKDOWN,4,B,1462.53084,1474.7521991599647,1431.977442100088,12.221359159964777,3.524398319929176,0,0,1,1,0,1,True,3191,-1.0
3260,2019-11-18 08:00:00,8,-1,MARKDOWN,6,A+,1469.38548,1475.735207294902,1453.5111617627447,6.349727294902095,2.11041458980404,0,1,1,1,1,1,True,3268,-1.0
3283,2019-11-19 08:00:00,8,1,MARKUP,6,A+,1463.6389,1455.1388260263852,1484.8890849340366,8.50007397361469,2.5223479472298136,0,1,1,1,1,1,False,-1,
3295,2019-11-19 20:00:00,20,1,MARKUP,6,A+,1463.6389,1454.8957052712508,1485.4968868218727,8.743194728749131,3.0085894574984464,0,1,1,1,1,1,False,-1,
3307,2019-11-20 09:00:00,9,1,MARKUP,5,A,1464.63974,1455.1062138849993,1488.473555287502,9.533526115000768,2.587572230001795,0,1,1,0,1,1,False,-1,
3331,2019-11-21 10:00:00,10,1,MARKUP,5,A,1470.17238,1463.2755867913402,1487.4143630216495,6.896793208659801,3.028826417319556,0,1,1,0,1,1,True,3332,-1.0
3352,2019-11-22 08:00:00,8,-1,MARKDOWN,5,A,1472.577,1480.0425741151812,1453.913064712047,7.465574115181198,2.3251482303622226,0,1,0,1,1,1,True,3356,1.3823894794622358
3364,2019-11-22 20:00:00,20,-1,MARKDOWN,6,A+,1472.19118,1480.3068851705577,1451.9019170736058,8.115705170557703,2.8537703411153723,0,1,1,1,1,1,False,-1,
3376,2019-11-25 09:00:00,9,-1,MARKDOWN,5,A,1468.8249,1476.7676445231016,1448.9680386922464,7.94274452310151,2.095289046202998,0,1,0,1,1,1,False,-1,
3398,2019-11-26 08:00:00,8,-1,MARKDOWN,3,C,1464.9864400000001,1474.230965040178,1441.8751273995554,9.244525040177905,2.001930080356108,0,0,0,0,1,1,False,-1,
3428,2019-11-27 15:00:00,15,-1,MARKDOWN,5,A,1457.98748,1463.978926203481,1443.0088644912976,5.9914462034810185,2.1578524069618936,0,1,1,0,1,1,True,3438,-1.0
3444,2019-11-28 08:00:00,8,-1,MARKDOWN,6,A+,1457.98748,1463.7976744760672,1443.4619938098322,5.810194476067181,1.7953489521340642,0,1,1,1,1,1,True,3446,-1.0
3456,2019-11-28 20:00:00,20,-1,MARKDOWN,4,B,1457.98748,1463.6557531884914,1443.8167970287714,5.668273188491412,1.5115063769825139,0,1,0,0,1,1,True,3461,-1.0
3470,2019-11-29 14:00:00,14,-1,MARKDOWN,5,A,1458.9463,1463.6143392118931,1447.2762019702673,4.668039211893074,1.4286784237862138,0,1,1,0,1,1,True,3473,-1.0
3486,2019-12-02 10:00:00,10,-1,MARKDOWN,6,A+,1461.22054,1467.6371629874236,1445.178982531441,6.41662298742358,2.114325974847568,0,1,1,1,1,1,True,3491,-1.0
3507,2019-12-03 08:00:00,8,1,MARKUP,6,A+,1458.21228,1452.0433363769882,1473.6346390575293,6.168943623011728,1.9933272460234843,0,1,1,1,1,1,False,-1,
3519,2019-12-03 20:00:00,20,1,MARKUP,5,A,1464.0301399999998,1451.5261896614652,1495.2900158463365,12.50395033853465,3.027620677069488,0,1,0,1,1,1,False,-1,
3531,2019-12-04 09:00:00,9,1,MARKUP,6,A+,1465.02706,1452.0937979574373,1497.3602151064063,12.933262042562546,2.3124040851253937,0,1,1,1,1,1,False,-1,
3553,2019-12-05 08:00:00,8,1,MARKUP,4,B,1469.10586,1458.7531772281875,1494.9875669295309,10.352682771812397,2.1936455436248594,0,0,1,0,1,1,False,-1,
3599,2019-12-09 08:00:00,8,-1,MARKDOWN,4,B,1471.68714,1481.4343583199027,1447.3190942002434,9.747218319902686,2.12871663980558,0,1,0,1,0,1,False,-1,
3611,2019-12-09 20:00:00,20,-1,MARKDOWN,4,B,1471.68714,1481.367296797421,1447.4867480064477,9.680156797420977,1.9945935948419742,0,1,1,0,0,1,False,-1,
3623,2019-12-10 09:00:00,9,-1,MARKDOWN,3,C,1471.68714,1481.1904132308734,1447.9289569228163,9.503273230873447,1.6408264617471005,0,1,0,0,0,1,False,-1,
3668,2019-12-12 08:00:00,8,1,MARKUP,5,A,1466.75068,1458.2273584985917,1488.0589837535213,8.523321501408418,1.9652830028165513,0,1,0,1,1,1,True,3677,0.6199815900586492
3680,2019-12-12 20:00:00,20,1,MARKUP,3,C,1470.25232,1458.1786856538006,1500.4364058654987,12.07363434619947,3.7026286923988865,1,0,0,0,0,1,True,3681,0.39654008583645506
3697,2019-12-13 14:00:00,14,1,MARKUP,6,A+,1471.3709,1460.2086544442134,1499.276513889466,11.162245555786512,3.262691111573213,1,0,1,1,1,1,True,3698,0.7596231383392608
3714,2019-12-16 08:00:00,8,1,MARKUP,6,A+,1471.3709,1460.554935509468,1498.4108112263298,10.815964490531996,2.570128981064226,0,1,1,1,1,1,False,-1,
3726,2019-12-16 20:00:00,20,1,MARKUP,4,B,1471.3709,1460.6262148015453,1498.2326129961364,10.74468519845459,2.427570396909245,0,0,1,1,0,1,False,-1,
