i,time,heure,sens,phase,score,grade,entry,sl,tp,risque,atr,f_fib,f_kijun,f_rsi,f_fvg,f_ob,f_rr,rempli,bar_fill,resultat_R
148,2025-09-12 13:20:00,13,1,MARKUP,6,A+,3644.6203800000003,3636.538045406041,3664.8262164848984,8.082334593959331,2.343909187918083,0,1,1,1,1,1,True,169,0.8134741795259823
160,2025-09-12 14:20:00,14,1,MARKUP,6,A+,3643.88694,3636.7633648528595,3661.695877867851,7.1235751471404,1.8932702942815847,0,1,1,1,1,1,True,172,0.7023454659996171
174,2025-09-12 15:30:00,15,-1,MARKDOWN,6,A+,3646.62774,3653.3558017321543,3629.807585669614,6.728061732154401,2.4316034643086395,0,1,1,1,1,1,True,180,-1.0
187,2025-09-12 16:35:00,16,1,MARKUP,6,A+,3643.22226,3636.3067181465763,3660.5111146335594,6.915541853423747,2.8065637068474913,0,1,1,1,1,1,True,206,0.8409652907402219
199,2025-09-12 17:35:00,17,1,MARKUP,5,A,3644.42818,3636.9303410282982,3663.172777429254,7.49783897170164,2.7793179434038207,0,1,0,1,1,1,True,206,-1.0
211,2025-09-12 18:35:00,18,1,MARKUP,4,B,3644.42818,3637.0802100798796,3662.7981048003003,7.347969920120249,2.479579840241425,1,0,0,1,0,1,True,215,-1.0
230,2025-09-12 20:10:00,20,1,MARKUP,6,A+,3644.42818,3637.540243914949,3661.6480202126277,6.887936085051024,1.5595121701022014,0,1,1,1,1,1,False,-1,
360,2025-09-15 08:00:00,8,1,MARKUP,6,A+,3634.33336,3625.7617697706123,3655.7623355734695,8.571590229387766,1.4964604587756338,0,1,1,1,1,1,True,384,0.9701421780169979
372,2025-09-15 09:00:00,9,1,MARKUP,3,C,3634.33336,3625.768378782045,3655.7458130448877,8.564981217954937,1.483242435909848,0,0,0,0,1,1,True,384,0.970504954647851
384,2025-09-15 10:00:00,10,-1,MARKDOWN,6,A+,3642.03928,3647.947813897916,3627.2679452552093,5.908533897916186,1.9156277958327634,0,1,1,1,1,1,True,392,0.608462536073033
403,2025-09-15 11:35:00,11,-1,MARKDOWN,5,A,3641.9055799999996,3648.0217872282965,3626.6150619292575,6.116207228296844,2.06357445659386,1,0,1,1,0,1,True,404,0.5938497584558061
425,2025-09-15 13:25:00,13,1,MARKUP,6,A+,3638.54286,3632.6069947164865,3653.382523208784,5.935865283513522,2.1460105670265506,0,1,1,1,1,1,True,447,1.75
437,2025-09-15 14:25:00,14,1,MARKUP,5,A,3638.54286,3632.6619230298666,3653.2452024253334,5.880936970133462,2.0361539402663498,0,1,0,1,1,1,True,447,1.75
451,2025-09-15 15:35:00,15,1,MARKUP,6,A+,3639.97728,3634.539418087147,3653.5719347821323,5.437861912852895,2.44116382570568,0,1,1,1,1,1,False,-1,
463,2025-09-15 16:35:00,16,1,MARKUP,6,A+,3645.72638,3634.228196309194,3674.471839227015,11.498183690805945,3.0636073816117726,0,1,1,1,1,1,False,-1,
475,2025-09-15 17:35:00,17,1,MARKUP,5,A,3646.77352,3634.289194078979,3677.984334802553,12.484325921021082,3.30161184204154,0,1,1,1,0,1,False,-1,
487,2025-09-15 18:35:00,18,1,MARKUP,4,B,3648.72324,3635.709227531957,3681.258271170107,13.014012468042893,2.4815449360859256,0,1,0,0,1,1,False,-1,
499,2025-09-15 19:35:00,19,1,MARKUP,5,A,3655.54958,3635.4072963577305,3705.9052891056735,20.142283642269376,3.085407284538476,0,1,0,1,1,1,False,-1,
511,2025-09-15 20:35:00,20,1,MARKUP,6,A+,3658.76936,3640.8707608460118,3703.5158578849696,17.898599153988016,2.578478307976323,0,1,1,1,1,1,False,-1,
636,2025-09-16 08:00:00,8,1,MARKUP,5,A,3680.33326,3673.789832576187,3696.691828559532,6.543427423812773,1.6803348476260167,0,1,0,1,1,1,True,645,1.2471343998862254
648,2025-09-16 09:00:00,9,1,MARKUP,6,A+,3678.72504,3673.823080741565,3690.979938146087,4.901959258434999,1.6138385168710263,0,1,1,1,1,1,False,-1,
660,2025-09-16 10:00:00,10,1,MARKUP,6,A+,3682.10574,3673.499683160922,3703.6208820976954,8.606056839078065,2.2606336781559926,0,1,1,1,1,1,False,-1,
672,2025-09-16 11:00:00,11,1,MARKUP,5,A,3684.2502,3677.0008169642497,3702.3736575893754,7.24938303575027,2.19836607150019,0,1,0,1,1,1,False,-1,
696,2025-09-16 13:00:00,13,1,MARKUP,3,C,3687.41722,3679.2488069144993,3707.838252713751,8.16841308550056,2.042386171001774,0,1,0,0,0,1,False,-1,
708,2025-09-16 14:00:00,14,1,MARKUP,3,C,3688.3133199999997,3680.789000799074,3707.124118002314,7.5243192009256745,1.861998401851376,0,0,0,0,1,1,True,726,0.8656766985087159
720,2025-09-16 15:00:00,15,1,MARKUP,5,A,3691.3233,3685.3373974069004,3706.288056482749,5.985902593099581,1.9252051861994626,0,1,0,1,1,1,True,725,-1.0
737,2025-09-16 16:25:00,16,1,MARKUP,6,A+,3690.65586,3683.7580892622022,3707.900286844494,6.8977707377976,2.923821475594846,0,1,1,1,1,1,True,750,-1.0
763,2025-09-16 18:35:00,18,-1,MARKDOWN,5,A,3693.8874,3705.110726927535,3665.829082681163,11.2233269275348,3.881453855069489,0,1,0,1,1,1,False,-1,
775,2025-09-16 19:35:00,19,-1,MARKDOWN,5,A,3693.8874,3704.6473970881766,3666.9874072795587,10.759997088176533,2.954794176352769,0,0,1,1,1,1,False,-1,
787,2025-09-16 20:35:00,20,-1,MARKDOWN,5,A,3693.8874,3704.3073408478285,3667.837547880429,10.419940847828457,2.2746816956571987,0,0,1,1,1,1,False,-1,
916,2025-09-17 08:20:00,8,-1,MARKDOWN,4,B,3686.58932,3694.97870401572,3665.6158599607006,8.38938401571977,1.6974080314394482,0,1,1,0,0,1,False,-1,
928,2025-09-17 09:20:00,9,-1,MARKDOWN,5,A,3683.6909,3690.41299509259,3666.8856622685253,6.722095092589825,1.9459901851799708,0,1,0,1,1,1,False,-1,
940,2025-09-17 10:20:00,10,-1,MARKDOWN,4,B,3679.57902,3687.2165584525637,3660.485173868591,7.637538452563604,2.7531169051267983,0,1,0,0,1,1,False,-1,
952,2025-09-17 11:20:00,11,-1,MARKDOWN,5,A,3677.24118,3687.092289970678,3652.6134050733053,9.851109970677953,2.5045799413559124,0,1,1,0,1,1,False,-1,
972,2025-09-17 13:00:00,13,-1,MARKDOWN,3,C,3676.98524,3686.9190025683206,3652.1508335791987,9.933762568320617,2.158005136641249,0,0,1,0,0,1,False,-1,
984,2025-09-17 14:00:00,14,-1,MARKDOWN,5,A,3671.83144,3680.3409869534394,3650.5575726164016,8.50954695343944,2.441973906879198,0,1,0,1,1,1,True,1000,-1.0
1021,2025-09-17 17:05:00,17,1,MARKUP,5,A,3668.68084,3658.550831224447,3694.005861938883,10.130008775553051,2.9783375511061316,0,1,1,1,0,1,False,-1,
