i,sens,entree,extreme,vol_ratio,dist_atr,heure,time,resultat_R,quintile
54,1,46128.48,46121.98,1.3132530120481927,0.9168765743073047,2,2025-09-12 02:50:00,-1.0,3
57,1,46129.48,46123.23,1.7108433734939759,0.7709251101321586,3,2025-09-12 03:05:00,-1.0,4
60,-1,46137.48,46145.23,1.3253012048192772,0.9194915254237288,3,2025-09-12 03:20:00,2.0,3
123,1,46127.23,46111.98,1.6,1.954233409610984,8,2025-09-12 08:35:00,-1.0,3
190,1,46023.08,46016.08,0.7796610169491526,0.6436781609195402,14,2025-09-12 14:10:00,2.0,0
199,1,46010.08,46003.08,1.3872340425531915,0.5297297297297298,14,2025-09-12 14:55:00,2.0,3
200,1,46014.08,46007.08,1.8235294117647058,0.5212765957446809,15,2025-09-12 15:00:00,-1.0,4
203,1,46022.08,46007.83,1.09375,1.1565217391304348,15,2025-09-12 15:15:00,-1.0,2
206,1,46014.08,46002.08,3.188612099644128,0.9056603773584906,15,2025-09-12 15:30:00,2.0,4
217,-1,46032.58,46079.08,2.0723514211886305,3.0104046242774567,16,2025-09-12 16:25:00,2.0,4
218,1,46056.28,45984.58,7.526448362720403,3.4055979643764522,16,2025-09-12 16:30:00,-1.0,4
220,-1,46000.28,46079.28,5.4904761904761905,2.891503267973856,16,2025-09-12 16:40:00,1.0078019348798746,4
221,1,46028.53,45975.28,5.515439429928741,1.7147786083956298,16,2025-09-12 16:45:00,-1.0,4
224,-1,46042.28,46056.03,3.9548022598870056,0.37893700787401574,17,2025-09-12 17:00:00,-1.0,4
266,-1,45916.28,45941.28,0.764,1.3059701492537314,20,2025-09-12 20:30:00,-1.0,0
278,-1,45948.28,45954.78,1.1147540983606556,0.36730575176589303,21,2025-09-12 21:30:00,-1.0,2
280,-1,45946.28,45955.28,1.0724299065420562,0.5378868729989328,21,2025-09-12 21:40:00,-1.0,2
281,-1,45947.28,45954.28,1.091121495327103,0.40961337513061646,21,2025-09-12 21:45:00,-1.0,2
282,-1,45948.28,45968.03,1.144859813084112,1.1239837398373982,21,2025-09-12 21:50:00,2.0,2
283,-1,45923.28,45951.03,1.028312570781427,1.498553519768563,21,2025-09-12 21:55:00,2.0,2
294,1,45909.28,45875.28,1.76033934252386,1.1414868105515588,22,2025-09-12 22:50:00,-1.0,4
311,-1,45853.41,45859.91,1.1734693877551021,0.5490196078431373,1,2025-09-15 01:15:00,2.0,2
317,-1,45856.16,45860.66,0.45454545454545453,0.4516129032258065,1,2025-09-15 01:45:00,2.0,0
334,1,45829.41,45823.16,4.82,0.678294573643411,3,2025-09-15 03:10:00,-1.0,4
335,1,45826.91,45812.91,3.9166666666666665,1.4306569343065692,3,2025-09-15 03:15:00,2.0,4
338,1,45829.41,45812.41,1.7257142857142858,1.503949447077409,3,2025-09-15 03:30:00,2.0,4
341,1,45832.41,45823.16,0.7346938775510204,0.8144654088050314,3,2025-09-15 03:45:00,2.0,0
342,1,45835.91,45823.66,1.4448979591836735,1.0635658914728683,3,2025-09-15 03:50:00,2.0,3
344,-1,45840.66,45845.66,0.5447470817120622,0.4437400950871633,4,2025-09-15 04:00:00,-1.0,0
370,-1,45867.66,45870.66,0.9583333333333334,0.5508196721311476,6,2025-09-15 06:10:00,-1.0,1
371,-1,45869.41,45874.66,1.0851063829787233,0.939297124600639,6,2025-09-15 06:15:00,2.0,2
372,-1,45869.16,45871.16,0.3617021276595745,0.35782747603833864,6,2025-09-15 06:20:00,2.0,0
392,-1,45871.16,45875.41,1.641025641025641,0.9674796747967479,8,2025-09-15 08:00:00,-1.0,3
393,-1,45866.66,45872.66,1.6585365853658536,1.382716049382716,8,2025-09-15 08:05:00,-1.0,3
428,-1,45867.76,45914.76,3.589873417721519,2.5297962322183913,11,2025-09-15 11:00:00,-1.0,4
429,1,45900.01,45868.26,1.6381909547738693,1.5798827083703653,11,2025-09-15 11:05:00,0.7002209435016576,3
465,1,45899.01,45891.51,1.2584856396866841,0.6645569620253164,14,2025-09-15 14:05:00,2.0,3
469,1,45898.76,45893.76,0.9763313609467456,0.4567699836867863,14,2025-09-15 14:25:00,2.0,1
493,1,45893.51,45886.76,1.4429824561403508,0.4649446494464945,16,2025-09-15 16:25:00,-1.0,3
494,-1,45875.96,45951.01,6.584033613445378,3.7993129632978837,16,2025-09-15 16:30:00,-1.0,4
497,1,45912.46,45829.96,5.132947976878612,2.545174085500204,16,2025-09-15 16:45:00,-1.0,4
498,1,45937.46,45889.21,4.481617647058823,1.3749236718908937,16,2025-09-15 16:50:00,-1.0,4
499,-1,45934.21,45955.21,3.7513321492007106,0.5778301886792421,16,2025-09-15 16:55:00,2.0,4
512,-1,45924.46,45956.46,0.9178470254957507,0.7577167019027484,18,2025-09-15 18:00:00,2.0,1
518,1,45849.71,45798.46,0.9596774193548387,1.2291220556745182,18,2025-09-15 18:30:00,-1.0,1
545,-1,45884.96,45896.21,0.8502715283165244,0.4114957544088831,20,2025-09-15 20:45:00,2.0,1
557,1,45840.71,45804.71,1.4408260524225576,1.3714285714285714,21,2025-09-15 21:45:00,1.0410572687224122,3
564,-1,45872.71,45889.71,1.0240349599417333,0.5836480455147399,22,2025-09-15 22:20:00,-1.0,2
565,-1,45876.46,45886.21,0.8724928366762178,0.3457621966664988,22,2025-09-15 22:25:00,-1.0,1
570,-1,45874.71,45901.21,1.4367575122292104,0.8537960555082525,22,2025-09-15 22:50:00,-0.14039915977329814,3
572,-1,45882.91,45901.66,0.9436524100475221,0.6180396958067432,23,2025-09-15 23:00:00,0.08126233276625947,1
573,-1,45874.16,45886.66,0.5390359809911744,0.411784083956889,23,2025-09-15 23:05:00,-1.0,0
596,1,45861.77,45854.77,0.7125,0.9180327868852459,2,2025-09-16 02:00:00,2.0,0
646,-1,45913.27,45916.77,0.8133971291866029,0.4474885844748859,6,2025-09-16 06:10:00,-1.0,0
648,-1,45914.02,45917.52,0.7064676616915423,0.47572815533980584,6,2025-09-16 06:20:00,-1.0,0
670,-1,45932.52,45936.02,1.0827067669172932,0.599388379204893,8,2025-09-16 08:10:00,-1.0,2
673,-1,45931.52,45935.27,1.838235294117647,0.5675675675675677,8,2025-09-16 08:25:00,-1.0,4
676,-1,45935.27,45938.52,1.4264705882352942,0.441747572815534,8,2025-09-16 08:40:00,-1.0,3
685,-1,45935.37,45943.62,1.3300970873786409,0.8783269961977187,9,2025-09-16 09:25:00,2.0,3
687,1,45923.37,45912.37,0.9910714285714286,1.021558872305141,9,2025-09-16 09:35:00,-1.0,1
692,1,45922.37,45901.12,3.3593073593073592,1.7629629629629628,10,2025-09-16 10:00:00,-1.0,4
701,1,45928.87,45914.12,1.4868804664723032,0.9429223744292238,10,2025-09-16 10:45:00,-1.0,3
737,1,45897.87,45882.12,1.0700280112044818,1.2894736842105263,13,2025-09-16 13:45:00,-1.0,2
753,1,45885.12,45874.37,0.6204819277108434,0.9868852459016394,15,2025-09-16 15:05:00,-1.0,0
754,1,45889.12,45876.87,1.4539877300613497,1.1433333333333333,15,2025-09-16 15:10:00,-1.0,3
759,1,45891.37,45878.37,0.7609427609427609,1.085271317829382,15,2025-09-16 15:35:00,-1.0,0
769,-1,45902.87,45914.87,2.404301075268817,0.5734767025089378,16,2025-09-16 16:25:00,-1.0,4
