i,sens,entree,extreme,vol_ratio,dist_atr,heure,time,resultat_R,quintile
123,1,3649.54,3648.15,0.8632958801498127,0.6932668329176495,10,2025-09-12 10:45:00,-1.0,0
126,1,3650.07,3647.9,0.8797595190380761,1.0731190392087981,11,2025-09-12 11:00:00,-1.0,1
141,1,3643.91,3639.59,1.0113821138211383,1.3327457029527496,12,2025-09-12 12:15:00,-1.0,1
144,-1,3646.07,3647.06,1.0758405003909304,0.33780160857901237,12,2025-09-12 12:30:00,-1.0,2
145,-1,3643.14,3646.42,0.8095952023988006,1.067410506741105,12,2025-09-12 12:35:00,-1.0,0
161,-1,3651.24,3651.73,0.8383110195674562,0.3113935542443663,13,2025-09-12 13:55:00,2.0,0
162,-1,3650.6,3652.08,1.1663019693654266,0.9750588235294446,14,2025-09-12 14:00:00,2.0,2
165,1,3650.04,3648.48,1.117056856187291,0.9570552147239241,14,2025-09-12 14:15:00,-1.0,2
194,-1,3651.01,3652.54,1.3012295081967213,0.4951456310678763,16,2025-09-12 16:40:00,-1.0,3
195,-1,3650.01,3652.24,1.190854870775348,0.6807675534233343,16,2025-09-12 16:45:00,-1.0,3
197,-1,3650.5,3652.35,0.7671366067087992,0.5973247232472013,16,2025-09-12 16:55:00,-1.0,0
199,-1,3651.27,3653.32,0.9781990521327014,0.6502038966924021,17,2025-09-12 17:05:00,-1.0,1
200,-1,3652.12,3653.1,0.9792970630717381,0.32658890740300717,17,2025-09-12 17:10:00,-1.0,1
204,-1,3651.92,3653.56,0.782820888238165,0.5608207132388544,17,2025-09-12 17:30:00,2.0,0
229,-1,3646.65,3647.55,0.8258178603006189,0.5419354838710225,19,2025-09-12 19:35:00,-1.0,0
247,1,3647.92,3647.02,0.8055555555555556,0.7031250000000683,21,2025-09-12 21:05:00,-1.0,0
260,1,3647.2,3646.74,0.7088607594936709,0.46531791907514586,22,2025-09-12 22:10:00,-1.0,0
286,1,3641.5,3639.88,1.1596858638743455,1.1666666666665848,1,2025-09-15 01:20:00,-1.0,2
295,1,3639.97,3639.14,1.384313725490196,0.5419776119402726,2,2025-09-15 02:05:00,-1.0,3
308,1,3641.3,3638.52,2.5118110236220472,1.6428872942170205,3,2025-09-15 03:10:00,-1.0,4
340,-1,3641.7,3643.24,0.986212489862125,0.6689419795221682,5,2025-09-15 05:50:00,-1.0,1
349,-1,3643.63,3645.77,1.1428571428571428,1.0749910297810494,6,2025-09-15 06:35:00,-1.0,2
358,-1,3645.22,3646.54,1.169188445667125,0.894049346879663,7,2025-09-15 07:20:00,2.0,2
372,-1,3645.34,3646.18,2.0113851992409866,0.6232114467406327,8,2025-09-15 08:30:00,2.0,4
379,1,3642.91,3641.83,1.7214397496087637,0.7145557655954046,9,2025-09-15 09:05:00,-1.0,4
382,1,3643.26,3641.96,1.383941605839416,0.813226094727545,9,2025-09-15 09:20:00,-1.0,3
384,1,3642.43,3640.85,1.2472527472527473,0.9080459770114477,9,2025-09-15 09:30:00,-1.0,3
414,-1,3644.91,3645.89,1.0018181818181817,0.5036710719530153,12,2025-09-15 12:00:00,2.0,1
417,-1,3642.79,3645.2,0.837863167760075,1.347982421094594,12,2025-09-15 12:15:00,2.0,0
425,1,3641.29,3638.68,1.1518438177874186,1.12882298424473,12,2025-09-15 12:55:00,-1.0,2
429,-1,3645.1,3646.13,1.2088724584103512,0.4303193076694274,13,2025-09-15 13:15:00,2.0,3
432,-1,3645.42,3646.41,0.8100358422939068,0.45058517555256994,13,2025-09-15 13:30:00,2.0,0
447,-1,3644.57,3646.8,1.3783303730017762,1.0908455625436542,14,2025-09-15 14:45:00,2.0,3
453,1,3639.78,3638.42,1.5813573180703189,0.6363636363636654,15,2025-09-15 15:15:00,-1.0,4
454,1,3639.7,3636.95,1.546122448979592,1.26561472715311,15,2025-09-15 15:20:00,2.0,4
456,1,3640.85,3638.13,1.6151980598221503,1.1511487303505354,15,2025-09-15 15:30:00,2.0,4
525,1,3678.85,3677.57,0.9868204283360791,0.7485380116957701,21,2025-09-15 21:15:00,-1.0,1
535,1,3678.79,3677.82,0.7163375224416517,0.5515840779852867,22,2025-09-15 22:05:00,2.0,0
536,1,3680.13,3678.34,0.9167464114832536,1.019943019943049,22,2025-09-15 22:10:00,-1.0,1
544,-1,3681.74,3682.78,1.3412935323383084,0.7144259077529982,22,2025-09-15 22:50:00,2.0,3
579,1,3677.78,3676.2,2.4806201550387597,1.4996610169494227,2,2025-09-16 02:45:00,2.0,4
582,1,3676.92,3676.34,3.612403100775194,0.4850657108720816,3,2025-09-16 03:00:00,2.0,4
595,-1,3680.11,3682.19,2.0371900826446283,0.7347968710572521,4,2025-09-16 04:05:00,-1.0,4
596,-1,3680.19,3681.71,1.9595551061678462,0.5413380819129873,4,2025-09-16 04:10:00,-1.0,4
597,-1,3677.95,3680.57,1.5601990049751244,0.9094966526160301,4,2025-09-16 04:15:00,-1.0,4
613,1,3679.28,3676.45,1.2852137351086195,1.2112503821462781,5,2025-09-16 05:35:00,-1.0,3
614,1,3678.02,3676.74,1.198341395991707,0.5730732331308696,5,2025-09-16 05:40:00,-1.0,3
615,1,3678.67,3674.63,1.3669661368348307,1.6843359142346293,5,2025-09-16 05:45:00,2.0,3
618,1,3678.45,3677.05,1.0020732550103664,0.568940493468643,6,2025-09-16 06:00:00,2.0,1
624,-1,3681.75,3682.85,0.7898894154818326,0.5054151624548352,6,2025-09-16 06:30:00,-1.0,0
626,-1,3681.43,3682.93,0.5582922824302134,0.6882989183874295,6,2025-09-16 06:40:00,-1.0,0
634,-1,3682.87,3683.56,0.6643437862950058,0.5218800648298568,7,2025-09-16 07:20:00,2.0,0
638,1,3682.56,3680.18,0.8784773060029283,1.7546076882569939,7,2025-09-16 07:40:00,2.0,1
642,-1,3683.39,3684.49,1.059011164274322,0.7616221562808203,8,2025-09-16 08:00:00,2.0,2
684,-1,3692.5,3694.74,0.9062240663900415,0.8990825688072724,11,2025-09-16 11:30:00,-1.0,1
695,-1,3695.12,3697.92,1.1158480074142725,1.41159524666916,12,2025-09-16 12:25:00,-1.0,2
696,-1,3695.32,3697.19,1.0342910101946245,0.9115598885793258,12,2025-09-16 12:30:00,-1.0,2
715,1,3693.37,3691.6,1.1293634496919918,1.0407391852162873,14,2025-09-16 14:05:00,-1.0,2
720,1,3693.2,3692.19,1.2370731707317073,0.5617798967023006,14,2025-09-16 14:30:00,2.0,3
721,1,3694.62,3692.99,1.584390243902439,0.8773548635140997,14,2025-09-16 14:35:00,2.0,4
724,-1,3698.28,3699.45,1.5874439461883407,0.6064420584966705,14,2025-09-16 14:50:00,2.0,4
732,1,3691.62,3687.7,1.8390137781000726,1.577918343875852,15,2025-09-16 15:30:00,-1.0,4
742,1,3691.5,3686.37,1.3266555370061213,1.532323447834442,16,2025-09-16 16:20:00,-1.0,3
755,-1,3692.84,3700.53,1.0876636255454184,1.8368879030882335,17,2025-09-16 17:25:00,0.44525293817069694,2
765,1,3685.99,3683.59,0.7873668747704737,0.5383752603748478,18,2025-09-16 18:15:00,-1.0,0
772,1,3685.61,3683.73,0.7088323353293413,0.5154719937328847,18,2025-09-16 18:50:00,2.0,0
778,-1,3688.44,3689.53,0.6699640287769785,0.3760473139478042,19,2025-09-16 19:20:00,-1.0,0
781,-1,3688.56,3691.21,0.6676356589147286,1.0587899543379231,19,2025-09-16 19:35:00,-1.0,0
787,-1,3688.13,3690.11,0.9814482345900658,0.9190981432360732,20,2025-09-16 20:05:00,-1.0,1
832,-1,3690.21,3692.28,0.6524822695035462,1.9053254437871854,23,2025-09-16 23:50:00,-1.0,0
857,-1,3694.24,3695.16,2.2565597667638486,0.8304319793682279,2,2025-09-17 02:55:00,2.0,4
858,-1,3693.33,3695.27,2.455,1.6662576687117312,3,2025-09-17 03:00:00,2.0,4
859,-1,3694.79,3695.22,1.9224137931034482,0.33351800554004424,3,2025-09-17 03:05:00,2.0,4
861,-1,3694.69,3695.25,0.7733887733887734,0.4748637189581546,3,2025-09-17 03:15:00,2.0,0
867,1,3692.46,3691.83,1.4131736526946108,0.4674085850557275,3,2025-09-17 03:45:00,-1.0,3
889,1,3677.55,3674.39,1.2246543778801844,0.9261042495290577,5,2025-09-17 05:35:00,2.0,3
894,-1,3681.51,3683.08,0.45118587975730834,0.6267465069859007,6,2025-09-17 06:00:00,-1.0,0
895,-1,3680.57,3682.09,0.5261996690568119,0.6093928980526754,6,2025-09-17 06:05:00,-1.0,0
917,1,3680.72,3680.4,1.4739454094292803,0.3446153846150471,7,2025-09-17 07:55:00,2.0,4
918,1,3684.94,3680.66,2.9081885856079404,3.7780580075661336,8,2025-09-17 08:00:00,-1.0,4
921,-1,3682.52,3684.17,2.640198511166253,1.2333155365723507,8,2025-09-17 08:15:00,2.0,4
923,1,3680.73,3679.16,2.9615384615384617,0.995922066153184,8,2025-09-17 08:25:00,-1.0,4
932,1,3675.95,3674.92,1.1270417422867514,0.4752801582068677,9,2025-09-17 09:10:00,2.0,2
933,1,3678.3,3675.7,1.070619006102877,1.168539325842857,9,2025-09-17 09:15:00,-1.0,2
940,1,3676.57,3671.78,1.245528455284553,1.9051136363636316,9,2025-09-17 09:50:00,-1.0,3
955,1,3666.69,3665.55,0.9596412556053812,0.4007029876976667,11,2025-09-17 11:05:00,-1.0,1
959,1,3666.93,3664.13,0.8184480234260615,1.1597633136093481,11,2025-09-17 11:25:00,-1.0,0
960,1,3666.66,3665.71,1.0569476082004556,0.3915219311156124,11,2025-09-17 11:30:00,-1.0,2
972,-1,3667.81,3670.11,1.2122944960686204,0.9266187050360203,12,2025-09-17 12:30:00,2.0,3
980,1,3665.14,3660.55,1.5941818181818181,1.9355421686745788,13,2025-09-17 13:10:00,2.0,4
988,1,3661.85,3660.44,1.6211453744493391,0.5447019867549344,13,2025-09-17 13:50:00,2.0,4
989,1,3661.48,3660.47,1.2790014684287812,0.38476190476200217,13,2025-09-17 13:55:00,2.0,3
990,1,3661.86,3660.04,1.3348017621145374,0.6812834224599775,14,2025-09-17 14:00:00,2.0,3
999,-1,3668.72,3669.91,0.9431396786155748,0.4649734859056879,14,2025-09-17 14:45:00,2.0,1
1004,-1,3669.55,3671.69,1.0570388349514563,0.7940630797773179,15,2025-09-17 15:10:00,-1.0,2
1022,-1,3679.19,3680.76,1.1797872340425533,0.5121155638397434,16,2025-09-17 16:40:00,-1.0,3
1024,-1,3677.43,3679.9,1.3978947368421053,0.7956741831569822,16,2025-09-17 16:50:00,-1.0,3
1057,-1,3686.98,3688.01,0.7341211225997046,0.6792275082431691,19,2025-09-17 19:35:00,2.0,0
1058,-1,3686.25,3687.2,0.6278026905829597,0.6372783900334085,19,2025-09-17 19:40:00,2.0,0
1059,-1,3685.9,3687.23,0.8322981366459627,0.9158878504672019,19,2025-09-17 19:45:00,2.0,0
1063,1,3683.38,3682.84,0.9467353951890034,0.37537239324722077,20,2025-09-17 20:05:00,-1.0,1
1068,1,3684.31,3682.48,1.3270060396893875,1.0591153369159967,20,2025-09-17 20:30:00,-1.0,3
1074,1,3691.73,3651.33,3.4,7.903856903297906,21,2025-09-17 21:00:00,-1.0,4
1076,-1,3687.9,3706.83,3.1254811393379525,2.5521956856702364,21,2025-09-17 21:10:00,2.0,4
1077,-1,3688.43,3692.51,3.1260504201680672,0.5050844460164917,21,2025-09-17 21:15:00,2.0,4
1078,-1,3685.01,3689.61,2.951951951951952,0.5254997960016169,21,2025-09-17 21:20:00,2.0,4
1086,1,3657.62,3646.27,1.0055055055055055,0.8139534883720835,22,2025-09-17 22:00:00,0.6248284827038365,1
1111,1,3658.55,3654.12,0.7225691347011597,1.6346863468635737,1,2025-09-18 01:05:00,2.0,0
1143,1,3661.63,3659.77,1.6078886310904872,0.6927374301676509,3,2025-09-18 03:45:00,2.0,4
1147,1,3659.73,3657.49,2.769377990430622,0.6405228758170607,4,2025-09-18 04:05:00,-1.0,4
1148,1,3661.2,3655.25,2.2197599261311174,1.6680016019222539,4,2025-09-18 04:10:00,-1.0,4
1198,1,3657.6,3656.69,0.7482014388489209,0.514539579967603,8,2025-09-18 08:20:00,-1.0,0
1200,1,3656.9,3656.17,1.9280575539568345,0.3799256505576354,8,2025-09-18 08:30:00,-1.0,4
1202,1,3654.32,3651.87,1.9466975666280417,1.103603603603729,8,2025-09-18 08:40:00,-1.0,4
1230,-1,3657.66,3659.44,0.8628800917957544,0.5121249486231725,11,2025-09-18 11:00:00,-1.0,0
1273,1,3667.83,3665.28,1.325560538116592,1.0261569416498175,14,2025-09-18 14:35:00,-1.0,3
1275,1,3666.72,3665.03,1.123614663256607,0.7069017030174741,14,2025-09-18 14:45:00,2.0,2
1284,-1,3665.4,3671.35,1.894736842105263,2.1441441441440836,15,2025-09-18 15:30:00,2.0,4
1326,-1,3641.66,3642.8,0.8002008032128514,0.45678305666870517,19,2025-09-18 19:00:00,-1.0,0
1327,-1,3642.15,3643.52,0.9309978768577495,0.5754575457545309,19,2025-09-18 19:05:00,-1.0,1
1338,-1,3645.6,3646.55,1.216238608119304,0.5143078112917061,20,2025-09-18 20:00:00,2.0,3
1339,-1,3644.53,3646.84,1.2377796188898094,1.2481667309918067,20,2025-09-18 20:05:00,0.6419784890836173,3
1365,-1,3642.68,3643.37,1.2132701421800949,0.5886654478977078,22,2025-09-18 22:15:00,-1.0,3
1367,-1,3642.62,3644.01,1.1220125786163522,1.1158256880737412,22,2025-09-18 22:25:00,-1.0,2
1398,1,3641.48,3640.03,1.4966887417218544,1.4828341855366962,2,2025-09-19 02:00:00,-1.0,4
1399,1,3640.93,3640.4,0.8823529411764706,0.523641496118306,2,2025-09-19 02:05:00,-1.0,1
1410,1,3641.94,3640.17,2.519125683060109,1.2408612919379065,3,2025-09-19 03:00:00,-1.0,4
1413,1,3638.07,3636.77,1.76036866359447,0.8028231142480144,3,2025-09-19 03:15:00,-1.0,4
1415,1,3638.17,3636.77,2.0303687635574836,0.835464620630914,3,2025-09-19 03:25:00,-1.0,4
1418,1,3638.56,3636.27,1.618348623853211,1.2450485436893226,3,2025-09-19 03:40:00,2.0,4
1432,1,3640.03,3632.29,2.78348623853211,2.205577040504846,4,2025-09-19 04:50:00,2.0,4
1442,-1,3646.4,3647.58,0.9839228295819936,0.3603053435114011,5,2025-09-19 05:40:00,-1.0,1
1443,-1,3646.45,3650.04,1.3006622516556292,1.0569926393270732,5,2025-09-19 05:45:00,-1.0,3
1446,-1,3646.36,3648.03,0.6997929606625258,0.6147778069945089,6,2025-09-19 06:00:00,-1.0,0
1472,-1,3657.77,3660.21,0.8479697828139755,1.334375000000011,8,2025-09-19 08:10:00,2.0,0
1475,1,3658.54,3656.41,1.1753846153846155,1.1304018195603263,8,2025-09-19 08:25:00,-1.0,3
1523,-1,3656.65,3658.43,0.7759456838021338,1.0213114754097052,12,2025-09-19 12:25:00,-1.0,0
1524,-1,3657.24,3657.89,0.9549902152641878,0.3817114093960388,12,2025-09-19 12:30:00,-1.0,1
1530,-1,3657.77,3658.78,0.7781731909845789,0.6438979963571642,13,2025-09-19 13:00:00,-1.0,0
1534,-1,3658.09,3659.22,0.770012706480305,0.7250229147568915,13,2025-09-19 13:20:00,2.0,0
1535,-1,3656.94,3658.65,0.9516339869281045,1.1042435424354562,13,2025-09-19 13:25:00,2.0,1
1537,1,3656.04,3655.34,1.0135135135135136,0.44484793463447875,13,2025-09-19 13:35:00,-1.0,1
1538,1,3657.05,3655.2,0.9826897470039947,1.1531611754231756,13,2025-09-19 13:40:00,-1.0,1
1541,1,3655.97,3655.15,1.062586926286509,0.5610948191591102,13,2025-09-19 13:55:00,-1.0,2
1564,1,3649.21,3644.55,1.1151870873074101,1.691031622602355,15,2025-09-19 15:50:00,-1.0,2
1566,1,3647.49,3643.64,1.714080459770115,1.2830278505117598,16,2025-09-19 16:00:00,2.0,4
1584,-1,3662.92,3665.43,1.02271714922049,0.719639565840605,17,2025-09-19 17:30:00,-1.0,2
1644,-1,3681.72,3683.73,1.2623376623376623,1.671021377672421,22,2025-09-19 22:30:00,-1.0,3
1649,-1,3684.35,3685.31,0.9267399267399268,0.7520984890878707,22,2025-09-19 22:55:00,2.0,1
1653,1,3681.52,3680.8,0.5988142292490118,0.5493188010897274,23,2025-09-19 23:15:00,2.0,0
1661,-1,3685.0,3685.57,0.5784695201037614,0.4586206896553017,23,2025-09-19 23:55:00,-1.0,0
1683,1,3686.96,3686.11,1.1287988422575976,0.5023216547065531,2,2025-09-22 02:45:00,2.0,2
1686,1,3687.13,3685.83,2.018320610687023,0.7761194029851591,3,2025-09-22 03:00:00,2.0,4
1688,1,3690.52,3686.33,1.914503816793893,2.151081774844109,3,2025-09-22 03:10:00,-1.0,4
1689,-1,3689.8,3690.8,1.3587786259541985,0.5319148936170088,3,2025-09-22 03:15:00,-1.0,3
1692,-1,3688.97,3690.75,0.9565217391304348,0.8947935368043977,3,2025-09-22 03:30:00,-1.0,1
1698,-1,3689.16,3693.74,3.54,1.9876007439553176,4,2025-09-22 04:00:00,-1.0,4
1703,-1,3690.09,3694.01,1.6858638743455496,1.3730297723292793,4,2025-09-22 04:25:00,-1.0,4
1705,-1,3690.26,3692.95,1.3854961832061068,0.865548149850485,4,2025-09-22 04:35:00,-1.0,3
1719,1,3687.74,3685.57,0.7871643745907008,0.8022181146024585,5,2025-09-22 05:45:00,2.0,0
1722,1,3689.38,3686.06,0.7605442176870748,1.3144796380091268,6,2025-09-22 06:00:00,2.0,0
1735,-1,3693.17,3694.47,0.7493356953055802,0.6591814559940962,7,2025-09-22 07:05:00,-1.0,0
1751,-1,3696.32,3697.85,1.3573264781491003,1.0510304219821316,8,2025-09-22 08:25:00,-1.0,3
1757,-1,3697.08,3698.84,1.755784061696658,0.9520865533231435,8,2025-09-22 08:55:00,-1.0,4
1758,-1,3696.85,3698.76,1.6879606879606879,0.9933135215454776,9,2025-09-22 09:00:00,-1.0,4
1800,-1,3722.34,3725.65,1.4326494201605708,1.3470930232558238,12,2025-09-22 12:30:00,-1.0,4
1801,-1,3721.46,3722.69,1.2950391644908616,0.51173848439823,12,2025-09-22 12:35:00,-1.0,3
1811,-1,3725.27,3727.01,0.8742304309586632,0.7815206929741179,13,2025-09-22 13:25:00,-1.0,0
1814,-1,3726.12,3726.79,1.1843575418994414,0.3292383292383675,13,2025-09-22 13:40:00,-1.0,3
1866,-1,3725.04,3726.54,0.8457095709570958,0.4099960952752774,18,2025-09-22 18:00:00,-1.0,0
1868,-1,3725.21,3727.06,0.759075907590759,0.550361240968944,18,2025-09-22 18:10:00,-1.0,0
1913,-1,3747.65,3748.05,0.9355992844364938,0.30434782608703925,21,2025-09-22 21:55:00,-1.0,1
1916,-1,3747.62,3748.52,0.7681992337164751,0.6969026548673474,22,2025-09-22 22:10:00,2.0,0
1917,-1,3747.2,3748.26,0.7730769230769231,0.826280623608349,22,2025-09-22 22:15:00,2.0,0
1920,1,3744.74,3742.4,1.2134146341463414,1.506206896551525,22,2025-09-22 22:30:00,-1.0,3
1921,1,3746.9,3744.63,0.9735772357723578,1.395696091348255,22,2025-09-22 22:35:00,-1.0,1
1938,1,3747.04,3745.14,0.9351081530782029,1.603375527426179,1,2025-09-23 01:00:00,-1.0,1
1941,1,3745.61,3744.92,0.6654135338345865,0.5390625000000405,1,2025-09-23 01:15:00,-1.0,0
1954,-1,3746.58,3749.12,3.0,1.1036623215393608,2,2025-09-23 02:20:00,-1.0,4
1960,-1,3746.96,3748.9,1.2260397830018084,0.8045023696682531,2,2025-09-23 02:50:00,-1.0,3
1963,-1,3747.88,3748.62,1.0965909090909092,0.351543942992762,3,2025-09-23 03:05:00,2.0,2
1968,-1,3748.6,3749.22,1.2588832487309645,0.3441712926248244,3,2025-09-23 03:30:00,-1.0,3
1971,-1,3748.43,3750.66,2.0775757575757576,1.253311922922493,3,2025-09-23 03:45:00,-1.0,4
1987,-1,3747.37,3751.97,1.192421551213736,1.0918955578161955,5,2025-09-23 05:05:00,-1.0,3
2048,1,3753.02,3748.97,1.0112781954887218,1.5771905424201067,10,2025-09-23 10:10:00,2.0,1
2049,1,3751.95,3751.1,0.9893416927899686,0.3383565538811118,10,2025-09-23 10:15:00,2.0,1
2050,1,3753.99,3750.86,0.6861128725428028,1.1953082378613022,10,2025-09-23 10:20:00,2.0,0
2053,-1,3754.45,3757.44,0.9295212765957447,1.118055555555656,10,2025-09-23 10:35:00,-1.0,1
2100,-1,3784.34,3788.59,1.4903772132409545,1.3853317811408674,14,2025-09-23 14:30:00,2.0,4
2109,1,3783.52,3779.33,1.212987012987013,1.226170568561885,15,2025-09-23 15:15:00,-1.0,3
2111,1,3781.29,3777.57,1.3672727272727272,1.0499999999999454,15,2025-09-23 15:25:00,-1.0,3
2112,1,3783.11,3779.43,1.3872093023255814,1.037872683319988,15,2025-09-23 15:30:00,-1.0,3
2126,-1,3784.55,3788.65,1.1001908396946565,1.2829682610638897,16,2025-09-23 16:40:00,2.0,2
2128,1,3778.66,3774.24,1.5595402298850574,1.162283996994745,16,2025-09-23 16:50:00,-1.0,4
2129,1,3783.86,3777.33,1.3698384201077198,1.5611338797814458,16,2025-09-23 16:55:00,-1.0,3
2161,1,3772.23,3765.1,2.152224824355972,1.9393821643676301,19,2025-09-23 19:35:00,-1.0,4
2165,-1,3779.35,3782.02,1.334894613583138,0.6319526627219146,19,2025-09-23 19:55:00,-1.0,3
2172,-1,3777.64,3783.08,1.214994487320838,1.3333333333333597,20,2025-09-23 20:30:00,2.0,3
2174,-1,3778.2,3780.91,1.117523609653725,0.669962917181719,20,2025-09-23 20:40:00,2.0,2
2212,1,3763.68,3762.54,0.47843137254901963,0.5533980582523801,23,2025-09-23 23:50:00,2.0,0
2220,1,3763.94,3762.05,0.6336633663366337,1.2289828146770745,1,2025-09-24 01:30:00,2.0,0
2232,-1,3765.74,3769.53,1.510548523206751,2.093096646942964,2,2025-09-24 02:30:00,-1.0,4
2242,1,3765.01,3759.65,1.7325581395348837,2.04190476190476,3,2025-09-24 03:20:00,-1.0,4
2250,-1,3764.15,3766.86,2.7727797001153403,0.9929337869667868,4,2025-09-24 04:00:00,-1.0,4
2252,-1,3763.28,3771.76,2.4754098360655736,2.6201721474288324,4,2025-09-24 04:10:00,-0.7890962917395509,4
2257,1,3759.53,3757.08,1.6726959517657192,0.7243928194298603,4,2025-09-24 04:35:00,-1.0,4
2258,1,3760.05,3758.76,1.0371428571428571,0.3868065967016378,4,2025-09-24 04:40:00,-1.0,2
2326,-1,3775.54,3777.01,0.8761609907120743,0.5895158980235783,10,2025-09-24 10:20:00,-1.0,0
2332,-1,3776.82,3777.88,0.8344370860927153,0.4532681734880488,10,2025-09-24 10:50:00,2.0,0
2334,-1,3775.51,3777.85,1.110738255033557,0.9882352941175001,11,2025-09-24 11:00:00,2.0,2
2351,1,3767.68,3767.09,1.0511089681774348,0.30672112885242186,12,2025-09-24 12:25:00,-1.0,2
2352,1,3767.3,3766.43,1.1957569913211186,0.43655913978511823,12,2025-09-24 12:30:00,-1.0,3
2354,1,3767.82,3763.16,1.515769944341373,2.0890169708614885,12,2025-09-24 12:40:00,-1.0,4
2356,1,3767.61,3766.88,1.083495145631068,0.3240329740012767,12,2025-09-24 12:50:00,-1.0,2
2357,1,3768.49,3766.8,0.8019417475728156,0.7971698113205826,12,2025-09-24 12:55:00,-1.0,0
2363,1,3764.08,3759.82,1.8665276329509906,1.7172473365965288,13,2025-09-24 13:25:00,-1.0,4
2372,1,3763.16,3759.7,1.525179856115108,1.3923541247484705,14,2025-09-24 14:10:00,2.0,4
2398,-1,3770.68,3772.87,1.1793696275071632,0.6519243036359967,16,2025-09-24 16:20:00,2.0,3
2401,1,3764.99,3761.58,1.587837837837838,1.0187793427229583,16,2025-09-24 16:35:00,-1.0,4
2477,-1,3730.12,3731.27,1.1670103092783506,0.405848248046414,22,2025-09-24 22:55:00,-1.0,2
2512,-1,3743.95,3745.37,1.970649895178197,0.8127555192150854,2,2025-09-25 02:50:00,-1.0,4
2533,1,3740.83,3738.34,1.2426127527216173,0.793174061433389,4,2025-09-25 04:35:00,-1.0,3
2535,1,3740.27,3737.54,1.0892480674631062,0.862948746895477,4,2025-09-25 04:45:00,-1.0,2
2561,1,3736.63,3734.43,0.9352890422778257,0.8313090418354362,6,2025-09-25 06:55:00,-1.0,1
2568,1,3739.33,3733.72,1.0885311871227363,2.2562482045388625,7,2025-09-25 07:30:00,2.0,2
2569,-1,3738.43,3740.74,1.1710261569416498,0.9403896481534646,7,2025-09-25 07:35:00,-1.0,3
2571,-1,3738.22,3740.01,0.5163265306122449,0.7172295363481637,7,2025-09-25 07:45:00,-1.0,0
2581,-1,3738.12,3741.29,1.4746136865342163,1.3744193248683747,8,2025-09-25 08:35:00,-1.0,4
2628,1,3752.67,3750.6,0.8,0.7020348837210133,12,2025-09-25 12:30:00,2.0,0
2646,1,3750.41,3747.29,1.8672489082969432,1.0928196147110005,14,2025-09-25 14:00:00,-1.0,4
2652,1,3751.64,3748.98,1.1033962264150943,0.6964653076491076,14,2025-09-25 14:30:00,-1.0,2
